architecture,state_parameters,cohort,data_seed,initialization_seed,noise_level,status,F_raw,F_se_GN,H_fix_exact,H_red_exact,C_exact,C_GN,E_raw,E_SAEPS,E_fix,E_GN_fix_reported,E_GN_fix_recomputed,E_GN_fix_difference,E_relax,identity_residual,identity_holds,source_path,source_sha256
base_2_16_1,65,,916101,926001,0.02,,31.670743959248476,1.6769591489602504,31.672799897763817,1.6792251829583655,29.99357471480545,29.993784810288226,17.86033159939241,0.0013494521209051888,17.86155593697617,0.9469887378960765,0.0012243375837629222,-0.9457644003123136,7.0046829930166676e-06,0.0,True,outputs/development/e6/e6_architecture_accuracy.csv,a1d164abf366788d31d5c5ca74937f3ec50b21c950faebd8e4a201587e32146d
base_2_16_1,65,,916101,926002,0.02,,31.70580026084399,1.6498767784663002,31.708672326546292,1.653859625215393,30.0548127013309,30.05592348237769,18.17079272976799,0.0024082132874438645,18.172529313478687,0.9478770717163171,0.0017365837107017872,-0.9461404880056153,3.6958508358022406e-05,0.0,True,outputs/development/e6/e6_architecture_accuracy.csv,a1d164abf366788d31d5c5ca74937f3ec50b21c950faebd8e4a201587e32146d
base_2_16_1,65,,916102,926001,0.02,,29.721955700468804,1.6922787809087652,29.720381102287334,1.6907653590283616,28.029615743258972,28.02967691956004,16.578994847492787,0.0008951105269404246,16.57806355435755,0.9431129706466548,0.0009312931352356724,-0.9421816775114191,2.182559390226758e-06,0.0,True,outputs/development/e6/e6_architecture_accuracy.csv,a1d164abf366788d31d5c5ca74937f3ec50b21c950faebd8e4a201587e32146d
base_2_16_1,65,,916102,926002,0.02,,29.733447637742707,1.652118388003931,29.732236339183075,1.6505507289957606,28.081685610187314,28.081329249738776,17.014258480677388,0.0009497793500878127,17.01352460529203,0.9444741700538224,0.0007338753853569772,-0.9437402946684654,1.2690137385571163e-05,0.0,True,outputs/development/e6/e6_architecture_accuracy.csv,a1d164abf366788d31d5c5ca74937f3ec50b21c950faebd8e4a201587e32146d
base_2_16_1,65,,916103,926001,0.02,,29.479258833117253,1.7703629134303327,29.48047717747744,1.7717379468357706,27.70873923064167,27.70889591968692,15.638611104638542,0.0007760929883184372,15.639298759579548,0.9399066284943637,0.0006876549410061777,-0.9392189735533575,5.654860146857384e-06,0.0,True,outputs/development/e6/e6_architecture_accuracy.csv,a1d164abf366788d31d5c5ca74937f3ec50b21c950faebd8e4a201587e32146d
base_2_16_1,65,,916103,926002,0.02,,29.48917494147168,1.7755980314372515,29.48990509769642,1.7762308483759632,27.713674249320455,27.71357691003443,15.602107103596946,0.0003562695331677496,15.602518174163194,0.9397648723800608,0.00041107056624646067,-0.9393538018138143,3.512319770899819e-06,0.0,True,outputs/development/e6/e6_architecture_accuracy.csv,a1d164abf366788d31d5c5ca74937f3ec50b21c950faebd8e4a201587e32146d
wide_2_32_1,129,,916101,926001,0.02,,31.82814750408795,1.6451464862639114,31.833509877136844,1.650930794559482,30.182579082577362,30.18300101782404,18.278910676441498,0.003503664889888627,18.282158767175577,0.9481518414034596,0.003248090734077628,-0.944903750669382,1.3979429835451899e-05,0.0,True,outputs/development/e6/e6_architecture_accuracy.csv,a1d164abf366788d31d5c5ca74937f3ec50b21c950faebd8e4a201587e32146d
wide_2_32_1,129,,916101,926002,0.02,,31.949296244222577,1.6455978613954514,31.956211529837244,1.6529419314416565,30.303269598395588,30.303698382827125,18.32874679576293,0.004443029644344164,18.332930418575863,0.9482882019681819,0.004183622812931898,-0.9441045791552499,1.4149774498888569e-05,0.0,True,outputs/development/e6/e6_architecture_accuracy.csv,a1d164abf366788d31d5c5ca74937f3ec50b21c950faebd8e4a201587e32146d
wide_2_32_1,129,,916102,926001,0.02,,29.777893248054017,1.6564872500324412,29.778253789981402,1.6567986028368047,28.121455187144598,28.121405998021576,16.973151973532676,0.00018792435118613905,16.9733695871428,0.9443604781835507,0.00021761361012247583,-0.9441428645734282,1.7491670568623376e-06,0.0,True,outputs/development/e6/e6_architecture_accuracy.csv,a1d164abf366788d31d5c5ca74937f3ec50b21c950faebd8e4a201587e32146d
wide_2_32_1,129,,916102,926002,0.02,,29.714527387354075,1.6623134625278162,29.713847136328138,1.6609975501353098,28.052849586192828,28.05221392482626,16.889567155615474,0.0007922422188261329,16.889157611951916,0.9440788258309657,0.0004095436635569318,-0.9436692821674088,2.265942233033322e-05,0.0,True,outputs/development/e6/e6_architecture_accuracy.csv,a1d164abf366788d31d5c5ca74937f3ec50b21c950faebd8e4a201587e32146d
