cohort,data_seed,initialization_seed,noise_level,status,F_raw,F_se_GN,H_fix_exact,H_red_exact,C_exact,C_GN,E_raw,E_SAEPS,E_fix,E_GN_fix_reported,E_GN_fix_recomputed,E_GN_fix_difference,E_relax,identity_residual,identity_holds,source_path,source_sha256
e3_development_1e5,916001,926001,0.0,PASS,29.834676726334322,1.5696301139022282,29.835716385597966,1.570823813664429,28.264892571933537,28.265046612432094,17.993012638894015,0.0007599195684568745,17.99367449495195,0.947356055998789,0.0006618560579364782,-0.9466941999408526,5.44988798775999e-06,0.0,True,outputs/development/e3/e3_all_fits.csv,4726dd33c0f98cd2094923dab556722a92582c0723355b662318aecbf0b63a48
e3_development_1e5,916001,926002,0.0,PASS,29.860070596868017,1.5572018090748756,29.861826713666176,1.5592914966681057,28.30253521699807,28.30286878779314,18.149768006287047,0.0013401519756208915,18.150894233673426,0.9477942876603217,0.001126227386379782,-0.9466680602739419,1.17858980616312e-05,0.0,True,outputs/development/e3/e3_all_fits.csv,4726dd33c0f98cd2094923dab556722a92582c0723355b662318aecbf0b63a48
e3_development_1e5,916001,926001,0.02,PASS,29.87985936235976,1.5609978122743513,29.883114104799198,1.5642658447432396,28.318848260055958,28.31886155008541,18.101522469314702,0.0020891796998437403,18.103603152997447,0.9476542987218619,0.002080683682744105,-0.9455736150391179,4.6929978661340614e-07,0.0,True,outputs/development/e3/e3_all_fits.csv,4726dd33c0f98cd2094923dab556722a92582c0723355b662318aecbf0b63a48
e3_development_1e5,916001,926002,0.02,PASS,29.91209210093512,1.5648920945819853,29.915619848931694,1.5683081570454718,28.347311691886222,28.347200006353134,18.07284087366985,0.0021781831755183505,18.075090270867868,0.9475718751617213,0.0022493971980142567,-0.945322477963707,3.9398985788503795e-06,0.0,True,outputs/development/e3/e3_all_fits.csv,4726dd33c0f98cd2094923dab556722a92582c0723355b662318aecbf0b63a48
e3_development_1e5,916002,926001,0.0,PASS,30.092569699483562,1.9674260972391515,30.0888601957677,1.9635095216204164,28.125350674147285,28.12514360224441,14.325909665765263,0.0019946812356459193,14.324020444625196,0.9347360920256172,0.001889221140067213,-0.9328468708855501,7.362464745767758e-06,0.0,True,outputs/development/e3/e3_all_fits.csv,4726dd33c0f98cd2094923dab556722a92582c0723355b662318aecbf0b63a48
e3_development_1e5,916002,926002,0.0,PASS,30.232795124819276,1.9751298590956559,30.233642158583528,1.9759648183994116,28.257677340184117,28.25766526572362,14.300269873380646,0.00042255777620905726,14.300698541822554,0.9346431074416436,0.00042866844190654185,-0.934214438999737,4.2729840625976437e-07,0.0,True,outputs/development/e3/e3_all_fits.csv,4726dd33c0f98cd2094923dab556722a92582c0723355b662318aecbf0b63a48
e3_development_1e5,916002,926001,0.02,PASS,30.221750354716015,1.9755153607257832,30.223468346942266,1.9775844349183203,28.245883912023945,28.24623499399023,14.282154166602103,0.0010462633835201713,14.2830228992778,0.9345795346979802,0.000868732675697014,-0.9337108020222832,1.2429491222707626e-05,0.0,True,outputs/development/e3/e3_all_fits.csv,4726dd33c0f98cd2094923dab556722a92582c0723355b662318aecbf0b63a48
e3_development_1e5,916002,926002,0.02,PASS,30.16856683425826,1.9684489152131555,30.169380253531767,1.9691069857166212,28.200273267815145,28.200117919045105,14.32093832883822,0.00033419743309900067,14.321351419277326,0.9347264568484666,0.0004130904391051717,-0.9343133664093614,5.508768248784171e-06,0.0,True,outputs/development/e3/e3_all_fits.csv,4726dd33c0f98cd2094923dab556722a92582c0723355b662318aecbf0b63a48
e3_heldout_1e5,916101,926001,0.0,PASS,31.691529364882115,1.6381987355663945,31.694172677784533,1.6410548213691847,30.053117856415348,30.05333062931572,18.31168219921138,0.0017403963281392933,18.313292939359663,0.9482289039492354,0.0016107401482815197,-0.9466181638009539,7.079894382946762e-06,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916101,926002,0.0,PASS,31.878256735316583,1.676423810978715,31.883037844447678,1.6819566132374995,30.20108123121018,30.201832924337868,17.953078994365505,0.0032895035355517198,17.955921582019098,0.9472696128334809,0.002842587653593513,-0.9444270251798874,2.488960980191428e-05,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916101,926001,0.02,PASS,31.670743959248476,1.6769591489602504,31.672799897763817,1.6792251829583655,29.99357471480545,29.993784810288226,17.86033159939241,0.0013494521209051888,17.86155593697617,0.9469887378960765,0.0012243375837629222,-0.9457644003123136,7.0046829930166676e-06,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
