seed,tau_relative_factor,tau,E_raw,E_SAEPS,D,lambda_min_B2,condition_number_B2,cholesky_relative_reconstruction_error,whitening_scale,paired_direction,comparison_margin,status
215,1e-8,2.3129117855898007e-06,17.364272953540706,0.025932743555410823,17.338340209985294,40.156615496854855,10.519455910820321,6.698018117566578e-17,231.29117855898005,SAEPS_BETTER,1.7374272953540706e-09,PASS
215,1e-10,2.3129117855898006e-08,17.36427297037272,0.02593274363031036,17.33834022674241,40.1566132070722,10.519456453632161,6.698018156968908e-17,231.29117855898005,SAEPS_BETTER,1.7374272970372721e-09,PASS
215,1e-12,2.3129117855898005e-10,17.364272970541045,0.025932743631059355,17.338340226909985,40.156613184174375,10.51945645906028,6.698018157362932e-17,231.29117855898005,SAEPS_BETTER,1.7374272970541046e-09,PASS
216,1e-8,1.8282229357792102e-06,9.572174932338738,0.021155217466055146,9.551019714872684,30.64820109653509,10.930376913822377,0.0,182.82229357792102,SAEPS_BETTER,9.58217493233874e-10,PASS
216,1e-10,1.82822293577921e-08,9.57217482401285,0.021155217512198593,9.55101960650065,30.648199286594377,10.930377500264449,0.0,182.82229357792102,SAEPS_BETTER,9.58217482401285e-10,PASS
216,1e-12,1.8282229357792103e-10,9.57217482292959,0.021155217512660026,9.55101960541693,30.648199268494935,10.930377506128881,0.0,182.82229357792102,SAEPS_BETTER,9.58217482292959e-10,PASS
217,1e-8,2.0349202031563486e-06,14.41540782537301,0.010997948055054402,14.404409877317955,41.395500460976876,8.83160102351631,1.0924618265912182e-16,203.49202031563487,SAEPS_BETTER,1.442540782537301e-09,PASS
217,1e-10,2.034920203156349e-08,14.415407707072074,0.010997948053294687,14.40440975901878,41.39549844640587,8.831601404652352,0.0,203.49202031563487,SAEPS_BETTER,1.4425407707072076e-09,PASS
217,1e-12,2.0349202031563487e-10,14.415407705889066,0.010997948053277095,14.40440975783579,41.39549842626015,8.831601408463715,1.092461833274192e-16,203.49202031563487,SAEPS_BETTER,1.4425407705889069e-09,PASS
218,1e-8,1.952430914314233e-06,14.5991486772311,0.02019133085777281,14.578957346373326,36.39608622921827,9.728796066381214,7.98461939417495e-17,195.2430914314233,SAEPS_BETTER,1.4609148677231101e-09,PASS
218,1e-10,1.952430914314233e-08,14.599148607748006,0.020191331221580146,14.578957276526426,36.396084296311656,9.728796529946127,7.984619441738998e-17,195.2430914314233,SAEPS_BETTER,1.4609148607748009e-09,PASS
218,1e-12,1.9524309143142328e-10,14.59914860705317,0.02019133122521822,14.578957275827952,36.39608427698259,9.728796534581775,0.0,195.2430914314233,SAEPS_BETTER,1.460914860705317e-09,PASS
220,1e-8,1.7059494475113876e-06,9.237280310563403,0.03853600468160128,9.198744305881801,23.1313615962314,13.7500998371736,8.912460989765271e-17,170.59494475113877,SAEPS_BETTER,9.247280310563403e-10,PASS
220,1e-10,1.705949447511388e-08,9.237280187956998,0.0385360054509923,9.198744182506005,23.131359907341448,13.750100768096624,0.0,170.59494475113877,SAEPS_BETTER,9.247280187956998e-10,PASS
220,1e-12,1.7059494475113876e-10,9.237280186730931,0.03853600545868622,9.198744181272245,23.131359890452515,13.750100777405875,8.912461040770115e-17,170.59494475113877,SAEPS_BETTER,9.247280186730932e-10,PASS
222,1e-8,2.072357952646148e-06,14.961433947067444,0.029824216430258756,14.931609730637186,38.63809060919537,9.727020619784625,7.522664312042636e-17,207.23579526461478,SAEPS_BETTER,1.4971433947067446e-09,PASS
222,1e-10,2.072357952646148e-08,14.96143392010795,0.029824216389322436,14.931609703718628,38.638088557561005,9.727021083178549,7.522664356856191e-17,207.23579526461478,SAEPS_BETTER,1.4971433920107953e-09,PASS
222,1e-12,2.0723579526461478e-10,14.961433919838358,0.029824216388913066,14.931609703449444,38.63808853704464,9.727021087812494,0.0,207.23579526461478,SAEPS_BETTER,1.497143391983836e-09,PASS
223,1e-8,1.783070903460382e-06,15.508026369366153,0.11855684940141646,15.389469519964736,26.60131587592771,12.405885104387956,8.584459889943368e-17,178.3070903460382,SAEPS_BETTER,1.5518026369366155e-09,PASS
223,1e-10,1.783070903460382e-08,15.508026283725204,0.11855684979903316,15.389469433926172,26.60131411068751,12.405885861272628,0.0,178.3070903460382,SAEPS_BETTER,1.5518026283725206e-09,PASS
223,1e-12,1.7830709034603818e-10,15.508026282868798,0.11855684980300932,15.389469433065788,26.601314093035143,12.40588586884146,0.0,178.3070903460382,SAEPS_BETTER,1.5518026282868799e-09,PASS
224,1e-8,1.4752264690503003e-06,12.340504892927077,0.095262632760148,12.245242260166929,23.12270286921092,11.759983053425003,0.0,147.52264690503003,SAEPS_BETTER,1.235050489292708e-09,PASS
224,1e-10,1.4752264690503004e-08,12.340504790665083,0.09526263396873369,12.24524215669635,23.122701408736702,11.759983733046191,1.0414547463176522e-16,147.52264690503003,SAEPS_BETTER,1.2350504790665083e-09,PASS
224,1e-12,1.4752264690503003e-10,12.340504789642457,0.09526263398081955,12.245242155661638,23.12270139413196,11.759983739842403,0.0,147.52264690503003,SAEPS_BETTER,1.2350504789642459e-09,PASS
