seed,status,E_raw,E_saeps,D_paired,eta,eta_profile
10,CHECKPOINT_INVALID,,,,,
11,PROFILE_FAILURE,,,,0.03586325255701704,
12,PROFILE_FAILURE,,,,0.03354840908757932,
13,PROFILE_FAILURE,,,,0.03854517151852825,
14,PROFILE_FAILURE,,,,0.0299263655236157,
15,PROFILE_FAILURE,,,,0.04436122228035211,
16,PROFILE_FAILURE,,,,0.028167554508800378,
17,PROFILE_FAILURE,,,,0.020075053093333937,
18,PASS,19.265994679401842,0.05884864022049956,19.207146039181342,0.05224755344955769,0.049187140255932245
19,PROFILE_FAILURE,,,,0.032963769406533346,
