data_seed,step,symmetric_curvature_C,exact_schur_reference,relative_difference,phi_plus,phi_minus,phi_anchor,displacement_plus,displacement_minus,branch_separation,branches_comparable,reference_check_passes,E_raw_same_reference,E_SAEPS_same_reference,SAEPS_wins_same_reference,wall_seconds
916101,0.1,1.6766904245040497,1.679225167457595,0.001509471750821289,0.010522779179822542,0.014382944080629831,0.004069409507705936,0.10588957280885698,0.10724785648516945,0.0013582836763124662,True,True,17.32515696623062,0.0275063567564777,True,
916101,0.03,1.6789919104811328,1.679225167457595,0.00013890750387895778,0.004270387895269777,0.005379523839575114,0.004069409507705936,0.03195292566072122,0.03203467145495139,8.174579423016887e-05,True,True,17.71677600451158,0.008271544977077754,True,
916101,0.01,1.6791931200761145,1.679225167457595,1.9084624326509892e-05,0.003969227980567272,0.004337510346852211,0.004069409507705936,0.010652404566136446,0.010653061180290432,6.56614153986268e-07,True,True,17.814147743870667,0.0035661095750306932,True,
916101,0.003,1.6787780700799506,1.679225167457595,0.0002662521895865815,0.00402174762049859,0.004132180397544001,0.004069409507705936,0.003195816923029565,0.0031954912708458284,3.2565218373650784e-07,True,True,17.846653202403854,0.0020048959146644098,True,
916101,0.001,1.679161546832425,1.679225167457595,3.788689355245471e-05,0.004051843865216006,0.004088654311742698,0.004069409507705936,0.0010652730132737532,0.0010652804964378303,7.48316407710864e-09,True,True,17.8557892409027,0.0015669966536770573,True,
916101,0.0003,1.6777166105352697,1.679225167457595,0.0008983648837335137,0.004063963462490434,0.004075006547416386,0.004069409507705936,0.0003195770991983652,0.00031958981609485804,1.2716896492825144e-08,True,True,17.858971086797393,0.0014146109904540492,True,
916101,0.0001,1.6721389792771768,1.679225167457595,0.004219915421555418,0.004067577354964842,0.004071258381836822,0.004069409507705936,0.0001065241145317743,0.00010653193869354398,7.824161769688707e-09,True,True,17.85987831631553,0.0013711692507767147,True,
916102,0.1,1.6880078168886494,1.6907654075715222,0.0016309717897727242,0.016891483403928587,0.013386086097131208,0.006698745666086648,0.12823419431912178,0.127135892278772,0.0010983020403497745,True,True,16.092453292088692,0.026555244169243656,True,
916102,0.03,1.687767768975923,1.6907654075715222,0.001772947673388214,0.008010295959765908,0.006906186364485719,0.006698745666086648,0.042401393949946145,0.03815799719803821,0.004243396751907935,True,True,16.44884355460621,0.006453527075621419,True,
916102,0.01,1.6512751490181403,1.6907654075715222,0.023356438673596023,0.006968393227257462,0.006594225619817649,0.006698745666086648,0.012713647225877305,0.03279267976597444,0.020079032540097137,True,True,16.537183087752624,0.0014501616186238925,True,
916102,0.003,1.6893930542180617,1.6907654075715222,0.0008116757932914875,0.006761940724187891,0.006650755145473368,0.006698745666086648,0.003814511004331046,0.0038149315613747593,4.205570437133474e-07,True,True,16.566616421932498,0.00020112021422402223,True,
916102,0.001,1.6885077816367404,1.6907654075715222,0.001335268585855685,0.006718121652152727,0.006681058187802206,0.006698745666086648,0.0012715528920544776,0.0012715851427299708,3.225067549323703e-08,True,True,16.57488553840295,0.0006647492110747569,True,
916102,0.0003,1.6673845848585078,1.6907654075715222,0.013828543338012013,0.00670438024520481,0.006693261151581124,0.006698745666086648,0.0003814604950140575,0.0003814892182442404,2.872323018288884e-08,True,True,16.57776489258214,0.000826167766276267,True,
916102,0.0001,1.4944850700721046,1.6907654075715222,0.11608963409142528,0.00670060632157669,0.006696899955447307,0.006698745666086648,0.00012715578817622087,0.0001271817226811155,2.5934504894624183e-08,True,False,16.578586152180556,0.0008722071503607004,True,
916103,0.1,1.7689635010531632,1.7717379293609774,0.001565936057380014,0.011551406667741772,0.014256586507295204,0.0040591790822526695,0.11612889454899779,0.11900844125254012,0.0028795467035423322,True,True,15.237734116821823,0.02587296619562415,True,
916103,0.03,1.7714425892872263,1.7717379293609774,0.00016669512395527683,0.004475109356296492,0.005237547138567351,0.0040591790822526695,0.03514808791834746,0.03543585684337669,0.0002877689250292276,True,True,15.533938889661588,0.007375344986325747,True,
916103,0.01,1.771636526751068,1.7717379293609774,5.723341371705655e-05,0.0040214164552398275,0.004274105361940618,0.0040591790822526695,0.011789762317277252,0.011816169154351925,2.6406837074673117e-05,True,True,15.605243556095525,0.0028851104565722364,True,
916103,0.003,1.7716450930959806,1.7717379293609774,5.2398418218811343e-05,0.004029272761823537,0.004105030208519666,0.0040591790822526695,0.0035396655892781007,0.0035419950400300782,2.329450751977543e-06,True,True,15.628761853774595,0.0013991695871800227,True,
916103,0.001,1.771458757703938,1.7717379293609774,0.0001575693856371186,0.004047439293900844,0.004072690329362199,0.0040591790822526695,0.001179907248837998,0.0011806565400400001,7.492912020021572e-07,True,True,15.635343198012007,0.0009828848510210868,True,
916103,0.0003,1.7695501430189482,1.7717379293609774,0.001234825030143306,0.004055471081291252,0.004063046342726959,0.0040591790822526695,0.000353824935337473,0.0003543451779840115,5.202426465384974e-07,True,True,15.63763264558606,0.0008380261149930502,True,
916103,0.0001,1.7552908264037437,1.7717379293609774,0.009283033729015327,0.004057925315857891,0.0040604504015557125,0.0040591790822526695,0.00011781362613370018,0.00011824549879596905,4.31872662268873e-07,True,True,15.63828532154532,0.0007967249194008456,True,
