data_seed,initialization_seed,noise_level,step,side,tolerance,phi,phi_relative_to_anchor,iterations,normalized_full_penalty_gradient,max_abs_gradient,displacement_from_anchor,tolerance_reached,wall_seconds,timed_out
916101,926001,0.02,0.1,plus,1e-08,0.010522779179822542,1.5858245919700005,922,3.933639753869601e-08,0.0002591478248090695,0.10588957280885698,False,5.522633000000496,False
916101,926001,0.02,0.1,plus,1e-10,0.010522779179822542,1.5858245919700005,922,3.933639753869601e-08,0.0002591478248090695,0.10588957280885698,False,5.61899959999937,False
916101,926001,0.02,0.1,plus,1e-12,0.010522779179822542,1.5858245919700005,922,3.933639753869601e-08,0.0002591478248090695,0.10588957280885698,False,6.035839300000589,False
916101,926001,0.02,0.1,minus,1e-08,0.014382944080629831,2.5344056805769797,1000,6.968180540276219e-08,0.0007527205721706842,0.10724785648516945,False,5.784708999999566,True
916101,926001,0.02,0.1,minus,1e-10,0.014382944080629831,2.5344056805769797,1000,6.968180540276219e-08,0.0007527205721706842,0.10724785648516945,False,6.038216999999349,True
916101,926001,0.02,0.1,minus,1e-12,0.014382944080629831,2.5344056805769797,1000,6.968180540276219e-08,0.0007527205721706842,0.10724785648516945,False,5.39888769999925,True
916101,926001,0.02,0.03,plus,1e-08,0.004270387895269777,0.04938760456111965,862,1.3499501230057039e-08,8.897699382037771e-05,0.03195292566072122,False,5.512880799999039,False
916101,926001,0.02,0.03,plus,1e-10,0.004270387895269777,0.04938760456111965,862,1.3499501230057039e-08,8.897699382037771e-05,0.03195292566072122,False,5.56638269999894,False
916101,926001,0.02,0.03,plus,1e-12,0.004270387895269777,0.04938760456111965,862,1.3499501230057039e-08,8.897699382037771e-05,0.03195292566072122,False,5.501387199999954,False
916101,926001,0.02,0.03,minus,1e-08,0.005379523839575114,0.3219421219192399,657,2.0894006565322214e-08,0.00018643661650483145,0.03203467145495139,False,6.000942599999689,False
916101,926001,0.02,0.03,minus,1e-10,0.005379523839575114,0.3219421219192399,657,2.0894006565322214e-08,0.00018643661650483145,0.03203467145495139,False,5.120054200000595,False
916101,926001,0.02,0.03,minus,1e-12,0.005379523839575114,0.3219421219192399,657,2.0894006565322214e-08,0.00018643661650483145,0.03203467145495139,False,5.812207400000261,False
916101,926001,0.02,0.01,plus,1e-08,0.003969227980567272,-0.024618197541672226,1000,1.8893659414945613e-08,0.00016487294948280828,0.010652404566136446,False,4.425856199999544,True
916101,926001,0.02,0.01,plus,1e-10,0.003969227980567272,-0.024618197541672226,1000,1.8893659414945613e-08,0.00016487294948280828,0.010652404566136446,False,4.534276399999726,True
916101,926001,0.02,0.01,plus,1e-12,0.003969227980567272,-0.024618197541672226,1000,1.8893659414945613e-08,0.00016487294948280828,0.010652404566136446,False,4.160731300000407,True
916101,926001,0.02,0.01,minus,1e-08,0.004337510346852211,0.06588200048154232,835,7.629471181446085e-09,6.563719921531819e-05,0.010653061180290432,True,4.78306590000102,False
916101,926001,0.02,0.01,minus,1e-10,0.004337510346852211,0.06588200048154232,835,7.629471181446085e-09,6.563719921531819e-05,0.010653061180290432,False,4.400868800001263,False
916101,926001,0.02,0.01,minus,1e-12,0.004337510346852211,0.06588200048154232,835,7.629471181446085e-09,6.563719921531819e-05,0.010653061180290432,False,5.005812800000058,False
916101,926001,0.02,0.003,plus,1e-08,0.00402174762049859,-0.011712236656716927,585,6.1585066040793535e-09,4.1679760031105954e-05,0.003195816923029565,True,4.1514422000000195,False
916101,926001,0.02,0.003,plus,1e-10,0.00402174762049859,-0.011712236656716927,585,6.1585066040793535e-09,4.1679760031105954e-05,0.003195816923029565,False,4.886278199999651,False
916101,926001,0.02,0.003,plus,1e-12,0.00402174762049859,-0.011712236656716927,585,6.1585066040793535e-09,4.1679760031105954e-05,0.003195816923029565,False,3.9833365000013146,False
916101,926001,0.02,0.003,minus,1e-08,0.004132180397544001,0.015425060987153263,770,1.1307355339298778e-08,9.458071869958284e-05,0.0031954912708458284,False,4.446122999999716,False
916101,926001,0.02,0.003,minus,1e-10,0.004132180397544001,0.015425060987153263,770,1.1307355339298778e-08,9.458071869958284e-05,0.0031954912708458284,False,4.6463217999989865,False
916101,926001,0.02,0.003,minus,1e-12,0.004132180397544001,0.015425060987153263,770,1.1307355339298778e-08,9.458071869958284e-05,0.0031954912708458284,False,4.571913899999345,False
916101,926001,0.02,0.001,plus,1e-08,0.004051843865216006,-0.004316508932479567,625,8.473942856209173e-09,6.490010570096849e-05,0.0010652730132737532,True,4.72500779999973,False
916101,926001,0.02,0.001,plus,1e-10,0.004051843865216006,-0.004316508932479567,625,8.473942856209173e-09,6.490010570096849e-05,0.0010652730132737532,False,4.781450399999812,False
916101,926001,0.02,0.001,plus,1e-12,0.004051843865216006,-0.004316508932479567,625,8.473942856209173e-09,6.490010570096849e-05,0.0010652730132737532,False,4.737288799999078,False
916101,926001,0.02,0.001,minus,1e-08,0.004088654311742698,0.004729139203198875,625,8.474660965258829e-09,6.491066667940748e-05,0.0010652804964378303,True,4.433615500000087,False
916101,926001,0.02,0.001,minus,1e-10,0.004088654311742698,0.004729139203198875,625,8.474660965258829e-09,6.491066667940748e-05,0.0010652804964378303,False,4.936829800000851,False
916101,926001,0.02,0.001,minus,1e-12,0.004088654311742698,0.004729139203198875,625,8.474660965258829e-09,6.491066667940748e-05,0.0010652804964378303,False,4.150728200000231,False
916101,926001,0.02,0.0003,plus,1e-08,0.004063963462490434,-0.0013382888119735335,625,1.8826751959674923e-08,0.00019738744249566537,0.0003195770991983652,False,4.9212109000000055,False
916101,926001,0.02,0.0003,plus,1e-10,0.004063963462490434,-0.0013382888119735335,625,1.8826751959674923e-08,0.00019738744249566537,0.0003195770991983652,False,4.609739000001355,False
916101,926001,0.02,0.0003,plus,1e-12,0.004063963462490434,-0.0013382888119735335,625,1.8826751959674923e-08,0.00019738744249566537,0.0003195770991983652,False,4.817656400000487,False
916101,926001,0.02,0.0003,minus,1e-08,0.004075006547416386,0.0013753935797935937,625,1.882735860334149e-08,0.00019739382865184563,0.00031958981609485804,False,4.530179600000338,False
916101,926001,0.02,0.0003,minus,1e-10,0.004075006547416386,0.0013753935797935937,625,1.882735860334149e-08,0.00019739382865184563,0.00031958981609485804,False,4.609943199999179,False
916101,926001,0.02,0.0003,minus,1e-12,0.004075006547416386,0.0013753935797935937,625,1.882735860334149e-08,0.00019739382865184563,0.00031958981609485804,False,4.271862899999178,False
916101,926001,0.02,0.0001,plus,1e-08,0.004067577354964842,-0.0004502256992381875,625,1.2060330435411588e-08,9.846144141301139e-05,0.0001065241145317743,False,4.73887090000062,False
916101,926001,0.02,0.0001,plus,1e-10,0.004067577354964842,-0.0004502256992381875,625,1.2060330435411588e-08,9.846144141301139e-05,0.0001065241145317743,False,5.057019500000024,False
916101,926001,0.02,0.0001,plus,1e-12,0.004067577354964842,-0.0004502256992381875,625,1.2060330435411588e-08,9.846144141301139e-05,0.0001065241145317743,False,4.263951099999758,False
916101,926001,0.02,0.0001,minus,1e-08,0.004071258381836822,0.0004543347449759309,625,1.2060507066453912e-08,9.846417967040999e-05,0.00010653193869354398,False,5.189259500000844,False
916101,926001,0.02,0.0001,minus,1e-10,0.004071258381836822,0.0004543347449759309,625,1.2060507066453912e-08,9.846417967040999e-05,0.00010653193869354398,False,5.259448599999814,False
916101,926001,0.02,0.0001,minus,1e-12,0.004071258381836822,0.0004543347449759309,625,1.2060507066453912e-08,9.846417967040999e-05,0.00010653193869354398,False,4.5956676000005245,False
916102,926001,0.02,0.1,plus,1e-08,0.016891483403928587,1.521589002765715,956,3.9168690191474245e-08,0.00036399958584942826,0.12823419431912178,False,5.831762699999672,False
916102,926001,0.02,0.1,plus,1e-10,0.016891483403928587,1.521589002765715,956,3.9168690191474245e-08,0.00036399958584942826,0.12823419431912178,False,6.550142399999459,False
916102,926001,0.02,0.1,plus,1e-12,0.016891483403928587,1.521589002765715,956,3.9168690191474245e-08,0.00036399958584942826,0.12823419431912178,False,6.1330753000002005,False
916102,926001,0.02,0.1,minus,1e-08,0.013386086097131208,0.9982974073639145,863,3.849766311177421e-08,0.0002593879711487723,0.127135892278772,False,6.624174399999902,False
916102,926001,0.02,0.1,minus,1e-10,0.013386086097131208,0.9982974073639145,863,3.849766311177421e-08,0.0002593879711487723,0.127135892278772,False,6.865451300000132,False
