data_seed,step,reference,curvature,relative_difference,reference_agreement,profile_point_valid,branches_comparable,all_normalized_gradient_ok,all_positive_hessian,all_objective_bounds_ok,plus_start_gap,minus_start_gap
916101,0.01,1.679225167457595,1.6758238880653762,0.0020255052497626376,True,True,True,True,True,True,1.491862189340054e-16,6.409803243734302e-16
916101,0.003,1.679225167457595,1.6417077243869531,0.022342115755354407,True,True,True,True,True,True,3.2361266444347336e-15,3.544040061420617e-15
916101,0.001,1.679225167457595,1.341576276916133,0.20107421987527388,False,True,True,True,True,True,3.885780586188048e-16,7.389922007661198e-16
916102,0.01,1.6907654075715222,1.5891174469152227,0.0601194939292603,True,True,True,True,True,True,8.760353553682876e-17,2.7356589216154248e-15
916102,0.003,1.6907654075715222,0.5625794247579392,0.6672634640863735,False,False,False,False,False,False,3.032096264326406e-06,1.6002824065886045e-15
916102,0.001,1.6907654075715222,-8.462136298349222,6.00491449638986,False,True,True,True,True,True,2.5326962749261384e-16,1.0390993621101074e-15
916103,0.01,1.7717379293609774,1.7488520727246009,0.012917179373492847,True,False,False,False,False,False,8.580717494790363e-08,7.961983056192778e-08
916103,0.003,1.7717379293609774,1.4606816813844719,0.17556560867255122,False,False,False,False,False,False,1.7728873924482969e-15,2.435462081009157e-07
916103,0.001,1.7717379293609774,-0.40139493830051304,1.2265543518872943,False,False,False,False,False,False,4.148241963559257e-08,4.2790701256650854e-08
