E_SAEPS2_fixed_metric,E_SAEPS2_repo_metric,E_raw2_fixed_metric,E_raw2_repo_metric,drift_F_raw,drift_F_se,drift_H_red,drift_H_red_over_SAEPS2,gamma,gamma_source,iteration_budget,lbfgs_iterations,method_preferred_same_level_reference,normalized_penalty_gradient,reference_reduction_status,seed,state_displacement_from_anchor
0.025932743629669474,0.025932743629669474,17.36427297037272,17.36427297037272,0.0,0.0,0.0,0.0,0.003476424762955617,historical_recorded,0,0,SAEPS,3.261943795322337e-07,PASS,215,0.0
0.02590237276230056,0.025902367408039844,17.36413594150375,17.36412994726991,4.7206979348103955e-07,5.521312391180142e-07,3.769967650788132e-05,0.0014554526279828338,0.003476424762955617,historical_recorded,25,15,SAEPS,1.746258254340062e-07,PASS,215,2.2818248844457146e-07
0.02593309049780065,0.02593309035529546,17.36430861261412,17.364308494744513,3.263233373729516e-08,3.8487082761651826e-08,2.5858436964916044e-06,9.971213021104855e-05,0.003476424762955617,historical_recorded,100,62,SAEPS,3.232626518907419e-07,PASS,215,9.742632339840664e-07
0.025928837401509197,0.025928836805815026,17.364330236434068,17.36432970669943,1.1891016664099094e-07,1.6728423553989667e-07,8.499218736997668e-06,0.0003277901976624285,0.003476424762955617,historical_recorded,400,250,SAEPS,3.1480516347960697e-07,PASS,215,3.876426677650111e-06
0.0258886343629739,0.025888628304542426,17.36412946801843,17.364122922633996,5.340190540819538e-07,8.442275427458688e-07,4.7819680767390936e-05,0.0018471302926578068,0.003476424762955617,historical_recorded,1000,625,SAEPS,1.604167288352868e-07,PASS,215,9.43869602890521e-06
0.02115521749968874,0.02115521749968874,9.57217482401285,9.57217482401285,0.0,0.0,0.0,0.0,8.35251846195285,historical_recorded,0,0,SAEPS,8.738256437347896e-08,PASS,216,0.0
0.02115530643249661,0.021155308295296604,9.5721692584655,9.572168740892938,2.1173255450860192e-07,1.7111366960249408e-07,8.762193045655482e-07,4.141841704640071e-05,8.35251846195285,historical_recorded,25,15,SAEPS,1.7214358586795182e-07,PASS,216,1.956300936904795e-09
0.021156158833498785,0.021156158711199857,9.572188165067738,9.572187809859757,1.3942982428400038e-07,1.22251152295575e-07,2.025613281161799e-06,9.574579663083409e-05,8.35251846195285,historical_recorded,100,62,SAEPS,6.562523951221258e-08,PASS,216,9.601180194567083e-09
0.021492359590227984,0.02149203492940418,9.574621483170866,9.574799904713498,5.516394462746372e-05,0.00010579707985585765,0.0002499668698109232,0.011630499143731833,8.35251846195285,historical_recorded,400,321,SAEPS,2.3078663325319066e-09,PASS,216,0.0005956879116280209
0.02149236661889108,0.021492041959103647,9.574621655753417,9.574800074723186,5.5163032261311976e-05,0.00010579634571530227,0.0002499760184936993,0.011630921011461747,8.35251846195285,historical_recorded,1000,819,SAEPS,2.270709939310848e-09,PASS,216,0.0005956938609211487
0.010997948057642383,0.010997948057642383,14.415407707072074,14.415407707072074,0.0,0.0,0.0,0.0,0.9895774817103719,historical_recorded,0,0,SAEPS,1.6488497786771228e-07,PASS,217,0.0
0.01113071136057463,0.011130848039675458,14.411881149337827,14.411984641443231,1.9255581078108134e-05,4.5885874690897266e-05,0.00028976027917610104,0.026032503205719815,0.9895774817103719,historical_recorded,25,25,SAEPS,9.777297481148556e-07,PASS,217,0.0007287856536424473
0.011367152486379418,0.01136718820771019,14.41522332914683,14.415301803835918,1.4604496068142208e-05,0.00018788021450058832,0.0005309077317021542,0.046705428851975844,0.9895774817103719,historical_recorded,100,100,SAEPS,1.5272454988836265e-06,PASS,217,0.0017796980834373572
0.011578260566767742,0.011578370443932338,14.41094918044339,14.411234069098384,5.37479340577534e-05,0.0002747375388802979,0.0008013165310131165,0.06920871458991676,0.9895774817103719,historical_recorded,400,372,SAEPS,2.6508415389087544e-08,PASS,217,0.0038974278530136955
0.011578141236450516,0.011578251116905344,14.41095369229265,14.411238613714612,5.37566709244421e-05,0.00027474782251394795,0.000801217199652197,0.06920084867593344,0.9895774817103719,historical_recorded,1000,868,SAEPS,2.6157720281352242e-08,PASS,217,0.003897561014278672
0.020191331212514565,0.020191331212514565,14.599148607748006,14.599148607748006,0.0,0.0,0.0,0.0,0.5393657019182193,historical_recorded,0,0,SAEPS,3.469084023753074e-08,PASS,218,0.0
0.02018752058773194,0.020187520998578824,14.599105673542683,14.599105607733772,2.6547072314679522e-08,1.938415231761227e-08,3.904215827665862e-06,0.00019339749082601424,0.5393657019182193,historical_recorded,25,15,SAEPS,3.008496061204529e-08,PASS,218,1.8108872271205593e-09
0.020194996447030183,0.020194996776785507,14.599198558348675,14.599198769869902,5.31562875125596e-08,4.070945959211963e-08,3.826262243463072e-06,0.00018946585375734248,0.5393657019182193,historical_recorded,100,62,SAEPS,3.14573386804583e-08,PASS,218,7.327086763042125e-09
0.020197111131541705,0.020197111310733068,14.59922290079242,14.599223201903795,6.48860583117366e-08,5.583619815243351e-08,5.716410918952636e-06,0.00028303111676329553,0.5393657019182193,historical_recorded,400,250,SAEPS,3.0684912287470235e-08,PASS,218,2.907699499891605e-08
0.020194032434864992,0.020194032101126292,14.59918122603565,14.599181467196411,7.990196862815488e-08,1.0970905732154758e-07,2.6100917243412216e-06,0.0001292506453458448,0.5393657019182193,historical_recorded,1000,625,SAEPS,2.782006572959471e-08,PASS,218,7.107101588564014e-08
0.04678634899282293,0.04678634899282293,17.140065043730853,17.140065043730853,0.0,0.0,0.0,0.0,0.010217778027689422,new_posthoc_sensitivity_target,0,0,SAEPS,9.782530826802203e-07,PASS,219,0.0
0.06014332889676952,0.06014211610423749,17.325551128913844,17.325427926732992,5.386784039005519e-05,1.4845659821938612e-05,0.015777960537764476,0.2623393288530119,0.010217778027689422,new_posthoc_sensitivity_target,25,25,SAEPS,3.876527251271212e-07,PASS,219,0.000572295745343919
0.05779302809115681,0.0577908718555825,17.30242658040319,17.302234596203405,5.884119929911751e-05,5.926343603030144e-05,0.012355714487846645,0.2137924745586614,0.010217778027689422,new_posthoc_sensitivity_target,100,100,SAEPS,4.9790191443234405e-06,PASS,219,0.0030306953048301506
0.059694838481375696,0.059693242614452864,17.32800274390839,17.327845028239086,6.107558420671605e-05,0.00022490243593497976,0.015293352780373559,0.2561922130863116,0.010217778027689422,new_posthoc_sensitivity_target,400,350,SAEPS,4.2109284951347445e-08,PASS,219,0.01107079864315572
0.0595664114637484,0.05956483054008457,17.326368337926688,17.326211182231493,6.113963341694604e-05,0.00022488661302127254,0.015151602756137401,0.2543648741599708,0.010217778027689422,new_posthoc_sensitivity_target,1000,725,SAEPS,5.4522335091716755e-08,PASS,219,0.011075120865862287
0.038536005470728545,0.038536005470728545,9.237280187956998,9.237280187956998,0.0,0.0,0.0,0.0,3.511775645430388,historical_recorded,0,0,SAEPS,5.894495074652119e-08,PASS,220,0.0
0.03853646365606816,0.0385364644906876,9.237280661113092,9.237280556446887,1.798166112028453e-07,1.2863307550747223e-07,2.361135201633735e-06,6.12701576020699e-05,3.511775645430388,historical_recorded,25,15,SAEPS,1.6364509576524517e-07,PASS,220,3.3870873910520835e-09
0.03853603580291945,0.038536036630208076,9.237280774400626,9.237280645401832,4.8950509361462236e-08,6.413242093292955e-08,1.5892920319467382e-07,4.1241710488195445e-06,3.511775645430388,historical_recorded,100,62,SAEPS,5.7562053038910275e-08,PASS,220,1.4806354425881536e-08
0.03855687877909846,0.03855703547876787,9.237851585986284,9.237827430129638,8.51503015126017e-06,3.143040033584341e-05,6.059040723851544e-05,0.0015714551892452785,3.511775645430388,historical_recorded,400,297,SAEPS,2.555149034318267e-10,PASS,220,0.00011189731371738082
0.03855577323422509,0.038555930909820145,9.23784616778996,9.237821851599454,8.57598264781635e-06,3.163008341272474e-05,6.0268920964845563e-05,0.0015631620353899736,3.511775645430388,historical_recorded,1000,497,SAEPS,2.8030467679982143e-11,PASS,220,0.00011411948356302805
0.007033967676122366,0.007033967676122366,10.472644046893375,10.472644046893375,0.0,0.0,0.0,0.0,0.9364647659424231,new_posthoc_sensitivity_target,0,0,SAEPS,8.231511715260049e-07,PASS,221,0.0
