seed,quantity,recomputed_sha_relative_error,recomputed_00,historical_00,recomputed_01,historical_01
215,F_raw,0.0,179.7146089806907,179.7146089806907,-184.0442325954284,-184.0442325954284
215,F_se_GN_explicit,4.1408879786875827e-13,12.011072088448145,12.011072088451243,-10.260485200464359,-10.260485200458561
215,H_red_exact_gamma,0.0,11.85236488472961,11.85236488472961,-10.258085208327913,-10.258085208327913
216,F_raw,0.0,173.43890698950312,173.43890698950312,-151.88451874724439,-151.88451874724439
216,F_se_GN_explicit,1.0196201796524687e-11,14.321701125249518,14.32170112542346,-10.7691218592052,-10.769121859140853
216,H_red_exact_gamma,0.0,14.116054664942737,14.116054664942737,-10.76150227273044,-10.76150227273044
217,F_raw,0.0,180.67865984531014,180.67865984531014,-160.48312370074785,-160.48312370074785
217,F_se_GN_explicit,1.0429831524899205e-11,9.172813562666676,9.172813562671223,-7.747637141301709,-7.747637141288976
217,H_red_exact_gamma,0.0,9.258579961942132,9.258579961942132,-7.747063657925963,-7.747063657925963
218,F_raw,0.0,175.93086528062102,175.93086528062102,-157.66867032827173,-157.66867032827173
218,F_se_GN_explicit,4.23795855329541e-12,11.49150397478192,11.491503974753812,-8.926179455393935,-8.926179455324586
218,H_red_exact_gamma,0.0,11.396702811319784,11.396702811319784,-8.907216037341954,-8.907216037341954
220,F_raw,0.0,163.2810543077569,163.2810543077569,-147.28209621877784,-147.28209621877784
220,F_se_GN_explicit,1.300784433412232e-11,13.903705410393002,13.903705410537526,-11.192305214743357,-11.192305214914057
220,H_red_exact_gamma,0.0,13.70899028098458,13.70899028098458,-11.1823793872924,-11.1823793872924
222,F_raw,0.0,192.3635540126264,192.3635540126264,-167.9404750321026,-167.9404750321026
222,F_se_GN_explicit,2.2666867527168245e-11,13.076621429627522,13.076621429238259,-9.885968003459254,-9.885968003392918
222,H_red_exact_gamma,0.0,13.260883647181686,13.260883647181686,-9.87897235539333,-9.87897235539333
223,F_raw,0.0,196.90275417445207,196.90275417445207,-150.56176086696433,-150.56176086696433
223,F_se_GN_explicit,2.642342697469352e-12,11.277965831113875,11.277965831130132,-7.956695006326015,-7.956695006297025
223,H_red_exact_gamma,0.0,11.750551573649005,11.750551573649005,-7.929607160898371,-7.929607160898371
224,F_raw,0.0,133.96239171682294,133.96239171682294,-123.65866699258007,-123.65866699258007
224,F_se_GN_explicit,6.412700503049235e-12,9.57326346978573,9.573263469762196,-7.751828564868106,-7.751828564784034
224,H_red_exact_gamma,0.0,9.091786467637434,9.091786467637434,-7.738803124667967,-7.738803124667967
