benchmark,seed,F_raw,F_SAEPS,F_block,H_red_exact,state_parameters,nominal_level,method,surrogate_coverage
Allen-Cahn,75,102.52155901088285,6.158448320117557,4.7224278335492755,4.947401296346257,33,0.9,raw,0.2821498447759425
Allen-Cahn,75,102.52155901088285,6.158448320117557,4.7224278335492755,4.947401296346257,33,0.9,SAEPS,0.859593966235018
Allen-Cahn,75,102.52155901088285,6.158448320117557,4.7224278335492755,4.947401296346257,33,0.9,block,0.907736685941289
Allen-Cahn,75,102.52155901088285,6.158448320117557,4.7224278335492755,4.947401296346257,33,0.95,raw,0.33320833725748256
Allen-Cahn,75,102.52155901088285,6.158448320117557,4.7224278335492755,4.947401296346257,33,0.95,SAEPS,0.921033393583081
Allen-Cahn,75,102.52155901088285,6.158448320117557,4.7224278335492755,4.947401296346257,33,0.95,block,0.9551551185320666
Allen-Cahn,75,102.52155901088285,6.158448320117557,4.7224278335492755,4.947401296346257,33,0.99,raw,0.42850134794299466
Allen-Cahn,75,102.52155901088285,6.158448320117557,4.7224278335492755,4.947401296346257,33,0.99,SAEPS,0.9790405022206321
Allen-Cahn,75,102.52155901088285,6.158448320117557,4.7224278335492755,4.947401296346257,33,0.99,block,0.9916226617309576
Allen-Cahn,76,140.5148652184539,9.142173335093446,7.817905602197726,8.163441360411383,33,0.9,raw,0.30823656727962434
Allen-Cahn,76,140.5148652184539,9.142173335093446,7.817905602197726,8.163441360411383,33,0.9,SAEPS,0.8798908151292593
Allen-Cahn,76,140.5148652184539,9.142173335093446,7.817905602197726,8.163441360411383,33,0.9,block,0.9072002203568266
Allen-Cahn,76,140.5148652184539,9.142173335093446,7.817905602197726,8.163441360411383,33,0.95,raw,0.36336933458220333
Allen-Cahn,76,140.5148652184539,9.142173335093446,7.817905602197726,8.163441360411383,33,0.95,SAEPS,0.935985824544624
Allen-Cahn,76,140.5148652184539,9.142173335093446,7.817905602197726,8.163441360411383,33,0.95,block,0.9548021987641531
Allen-Cahn,76,140.5148652184539,9.142173335093446,7.817905602197726,8.163441360411383,33,0.99,raw,0.4653072257786639
Allen-Cahn,76,140.5148652184539,9.142173335093446,7.817905602197726,8.163441360411383,33,0.99,SAEPS,0.9850689513857165
Allen-Cahn,76,140.5148652184539,9.142173335093446,7.817905602197726,8.163441360411383,33,0.99,block,0.9915150385479832
Allen-Cahn,77,107.40255397801012,6.431143496125131,4.58694951003848,4.625068640394332,33,0.9,raw,0.2671475454709664
Allen-Cahn,77,107.40255397801012,6.431143496125131,4.58694951003848,4.625068640394332,33,0.9,SAEPS,0.8369532024985196
Allen-Cahn,77,107.40255397801012,6.431143496125131,4.58694951003848,4.625068640394332,33,0.9,block,0.9013990021017446
Allen-Cahn,77,107.40255397801012,6.431143496125131,4.58694951003848,4.625068640394332,33,0.95,raw,0.315789342204273
Allen-Cahn,77,107.40255397801012,6.431143496125131,4.58694951003848,4.625068640394332,33,0.95,SAEPS,0.9035118261662762
Allen-Cahn,77,107.40255397801012,6.431143496125131,4.58694951003848,4.625068640394332,33,0.95,block,0.9509424458908424
Allen-Cahn,77,107.40255397801012,6.431143496125131,4.58694951003848,4.625068640394332,33,0.99,raw,0.4070223610304553
Allen-Cahn,77,107.40255397801012,6.431143496125131,4.58694951003848,4.625068640394332,33,0.99,SAEPS,0.9710670959368581
Allen-Cahn,77,107.40255397801012,6.431143496125131,4.58694951003848,4.625068640394332,33,0.99,block,0.9903046691729822
Allen-Cahn,78,109.86907313257217,6.145287155246493,4.558974028339094,4.794720095797132,33,0.9,raw,0.2688635873484111
Allen-Cahn,78,109.86907313257217,6.145287155246493,4.558974028339094,4.794720095797132,33,0.9,SAEPS,0.8537504038706505
Allen-Cahn,78,109.86907313257217,6.145287155246493,4.558974028339094,4.794720095797132,33,0.9,block,0.9083669513682553
Allen-Cahn,78,109.86907313257217,6.145287155246493,4.558974028339094,4.794720095797132,33,0.95,raw,0.31778440080966974
Allen-Cahn,78,109.86907313257217,6.145287155246493,4.558974028339094,4.794720095797132,33,0.95,SAEPS,0.9165919931047952
Allen-Cahn,78,109.86907313257217,6.145287155246493,4.558974028339094,4.794720095797132,33,0.95,block,0.9555688621507148
Allen-Cahn,78,109.86907313257217,6.145287155246493,4.558974028339094,4.794720095797132,33,0.99,raw,0.4094902654930479
Allen-Cahn,78,109.86907313257217,6.145287155246493,4.558974028339094,4.794720095797132,33,0.99,SAEPS,0.9771085904390504
Allen-Cahn,78,109.86907313257217,6.145287155246493,4.558974028339094,4.794720095797132,33,0.99,block,0.9917481732108893
Allen-Cahn,79,90.78747614500276,5.085703601305255,3.3574976741131195,3.4673912660044977,33,0.9,raw,0.25213188165986566
Allen-Cahn,79,90.78747614500276,5.085703601305255,3.3574976741131195,3.4673912660044977,33,0.9,SAEPS,0.8255892863209531
Allen-Cahn,79,90.78747614500276,5.085703601305255,3.3574976741131195,3.4673912660044977,33,0.9,block,0.9053880100748555
Allen-Cahn,79,90.78747614500276,5.085703601305255,3.3574976741131195,3.4673912660044977,33,0.95,raw,0.29830493471757213
Allen-Cahn,79,90.78747614500276,5.085703601305255,3.3574976741131195,3.4673912660044977,33,0.95,SAEPS,0.8944140463330392
Allen-Cahn,79,90.78747614500276,5.085703601305255,3.3574976741131195,3.4673912660044977,33,0.95,block,0.9536049439303329
Allen-Cahn,79,90.78747614500276,5.085703601305255,3.3574976741131195,3.4673912660044977,33,0.99,raw,0.3853106727641
Allen-Cahn,79,90.78747614500276,5.085703601305255,3.3574976741131195,3.4673912660044977,33,0.99,SAEPS,0.9665699428847847
Allen-Cahn,79,90.78747614500276,5.085703601305255,3.3574976741131195,3.4673912660044977,33,0.99,block,0.9911460975876074
Allen-Cahn,80,81.08100811150594,5.183140175684088,3.568548226425392,3.7936613688022476,33,0.9,raw,0.27800414358567127
Allen-Cahn,80,81.08100811150594,5.183140175684088,3.568548226425392,3.7936613688022476,33,0.9,SAEPS,0.8406359754924044
Allen-Cahn,80,81.08100811150594,5.183140175684088,3.568548226425392,3.7936613688022476,33,0.9,block,0.9101029556895466
Allen-Cahn,80,81.08100811150594,5.183140175684088,3.568548226425392,3.7936613688022476,33,0.95,raw,0.3283999732273193
Allen-Cahn,80,81.08100811150594,5.183140175684088,3.568548226425392,3.7936613688022476,33,0.95,SAEPS,0.9064181225246153
Allen-Cahn,80,81.08100811150594,5.183140175684088,3.568548226425392,3.7936613688022476,33,0.95,block,0.9567035042628771
Allen-Cahn,80,81.08100811150594,5.183140175684088,3.568548226425392,3.7936613688022476,33,0.99,raw,0.42258789698050103
Allen-Cahn,80,81.08100811150594,5.183140175684088,3.568548226425392,3.7936613688022476,33,0.99,SAEPS,0.9724536266155388
Allen-Cahn,80,81.08100811150594,5.183140175684088,3.568548226425392,3.7936613688022476,33,0.99,block,0.9920886949464176
Allen-Cahn,82,113.15799559136367,6.4369929554400755,5.281501294037625,5.5706261429715624,33,0.9,raw,0.2848533227316439
Allen-Cahn,82,113.15799559136367,6.4369929554400755,5.281501294037625,5.5706261429715624,33,0.9,SAEPS,0.8740236563332693
Allen-Cahn,82,113.15799559136367,6.4369929554400755,5.281501294037625,5.5706261429715624,33,0.9,block,0.9088334168085097
Allen-Cahn,82,113.15799559136367,6.4369929554400755,5.281501294037625,5.5706261429715624,33,0.95,raw,0.3363417738820247
Allen-Cahn,82,113.15799559136367,6.4369929554400755,5.281501294037625,5.5706261429715624,33,0.95,SAEPS,0.9317423187793932
Allen-Cahn,82,113.15799559136367,6.4369929554400755,5.281501294037625,5.5706261429715624,33,0.95,block,0.9558744604201153
Allen-Cahn,82,113.15799559136367,6.4369929554400755,5.281501294037625,5.5706261429715624,33,0.99,raw,0.4323483609610619
Allen-Cahn,82,113.15799559136367,6.4369929554400755,5.281501294037625,5.5706261429715624,33,0.99,SAEPS,0.9834350751885801
Allen-Cahn,82,113.15799559136367,6.4369929554400755,5.281501294037625,5.5706261429715624,33,0.99,block,0.9918404191829595
Allen-Cahn,83,94.0753856371754,6.125940020913035,4.7114393329204916,5.028715207059875,33,0.9,raw,0.2962717062836244
Allen-Cahn,83,94.0753856371754,6.125940020913035,4.7114393329204916,5.028715207059875,33,0.9,SAEPS,0.8638507544293479
Allen-Cahn,83,94.0753856371754,6.125940020913035,4.7114393329204916,5.028715207059875,33,0.9,block,0.9107438987269147
Allen-Cahn,83,94.0753856371754,6.125940020913035,4.7114393329204916,5.028715207059875,33,0.95,raw,0.34955672973026575
Allen-Cahn,83,94.0753856371754,6.125940020913035,4.7114393329204916,5.028715207059875,33,0.95,SAEPS,0.9242315433081854
Allen-Cahn,83,94.0753856371754,6.125940020913035,4.7114393329204916,5.028715207059875,33,0.95,block,0.9571205607650468
Allen-Cahn,83,94.0753856371754,6.125940020913035,4.7114393329204916,5.028715207059875,33,0.99,raw,0.4485143695702123
Allen-Cahn,83,94.0753856371754,6.125940020913035,4.7114393329204916,5.028715207059875,33,0.99,SAEPS,0.9803925628904204
Allen-Cahn,83,94.0753856371754,6.125940020913035,4.7114393329204916,5.028715207059875,33,0.99,block,0.9922124955011817
Allen-Cahn,84,120.46614457030421,6.723721684096063,5.327611374643254,5.2587961720189895,33,0.9,raw,0.2689033212641645
Allen-Cahn,84,120.46614457030421,6.723721684096063,5.327611374643254,5.2587961720189895,33,0.9,SAEPS,0.8542403596181534
Allen-Cahn,84,120.46614457030421,6.723721684096063,5.327611374643254,5.2587961720189895,33,0.9,block,0.8977823088427175
Allen-Cahn,84,120.46614457030421,6.723721684096063,5.327611374643254,5.2587961720189895,33,0.95,raw,0.3178305874304983
Allen-Cahn,84,120.46614457030421,6.723721684096063,5.327611374643254,5.2587961720189895,33,0.95,SAEPS,0.9169666141514687
Allen-Cahn,84,120.46614457030421,6.723721684096063,5.327611374643254,5.2587961720189895,33,0.95,block,0.9484969917185211
Allen-Cahn,84,120.46614457030421,6.723721684096063,5.327611374643254,5.2587961720189895,33,0.99,raw,0.4095473751368095
Allen-Cahn,84,120.46614457030421,6.723721684096063,5.327611374643254,5.2587961720189895,33,0.99,SAEPS,0.9772739426522001
Allen-Cahn,84,120.46614457030421,6.723721684096063,5.327611374643254,5.2587961720189895,33,0.99,block,0.9895068410229193
Burgers,55,702.2247518499003,32.65205704500545,26.098091646542798,30.262481492035022,65,0.9,raw,0.26724364758965935
Burgers,55,702.2247518499003,32.65205704500545,26.098091646542798,30.262481492035022,65,0.9,SAEPS,0.886697588610954
