candidate,classical_clarity,classical_profiles_pass,gamma_pass,hard_gate_pass,nominal_gamma_alpha,profile_failure_fraction,profile_fit_passing_count,state_rmse_gate_pass,stationarity_passing_count
Allen-Cahn,0.9984252615077979,True,True,True,1e-10,0.0,1,True,3
Burgers,0.9998460719661915,True,True,True,1e-08,0.0,1,True,3
