seed,status,training_seconds,saeps_seconds,frozen_profile_seconds,reoptimized_profile_seconds,reoptimized_to_saeps_ratio,CG_iterations,JVP_count,VJP_count
0,PASS,4.464391000001342,4.454892100009602,0.005196400001295842,9.124859600007767,2.048278475698233,"[205, 255]",467,466
1,PASS,3.7658553999935975,5.220969800007879,0.004964000007021241,13.269358699995792,2.5415505563690037,"[256, 293]",556,555
2,PASS,3.7300803999969503,6.809366300003603,0.0049580999911995605,8.6331274999975,1.2678312664708509,"[314, 405]",726,725
