phase,seed,label,status,failure_reason
P2,10,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,10,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,10,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,10,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,10,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,11,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,11,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,11,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,11,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,11,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,12,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,12,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,12,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,12,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,12,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,13,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,13,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,13,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,13,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,13,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,16,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,16,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,16,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,16,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P2,16,,CHECKPOINT_INVALID,locked checkpoint validity threshold failed
P5,10,,CHECKPOINT_INVALID,locked stationarity/state gate failed after allowed retry
P5,11,,PROFILE_FAILURE,locked profile/fit/classical rule failed
P5,12,,PROFILE_FAILURE,locked profile/fit/classical rule failed
P5,13,,PROFILE_FAILURE,locked profile/fit/classical rule failed
P5,14,,PROFILE_FAILURE,locked profile/fit/classical rule failed
P5,15,,PROFILE_FAILURE,locked profile/fit/classical rule failed
P5,16,,PROFILE_FAILURE,locked profile/fit/classical rule failed
P5,17,,PROFILE_FAILURE,locked profile/fit/classical rule failed
P5,19,,PROFILE_FAILURE,locked profile/fit/classical rule failed
P6,10,,SOLVER_FAILURE,"CGConvergenceError: CG failed: iterations=500, relative_residual=1.486e-06"
P6,11,,SOLVER_FAILURE,"CGConvergenceError: CG failed: iterations=500, relative_residual=1.897e-09"
P6,12,,CHECKPOINT_INVALID,locked multi checkpoint gate failed
P6,13,,CHECKPOINT_INVALID,locked multi checkpoint gate failed
P6,14,,PROFILE_FAILURE,locked eigendirection profile fit failed
P6,15,,PROFILE_FAILURE,locked eigendirection profile fit failed
P6,16,,CHECKPOINT_INVALID,locked multi checkpoint gate failed
P6,17,,SOLVER_FAILURE,"CGConvergenceError: CG failed: iterations=500, relative_residual=9.759e-10"
P6,18,,CHECKPOINT_INVALID,locked multi checkpoint gate failed
P6,19,,SOLVER_FAILURE,"CGConvergenceError: CG failed: iterations=500, relative_residual=2.300e-09"
P7,10,noise=0.0_fraction=1.0,CHECKPOINT_INVALID,locked checkpoint gate failed
P7,12,noise=0.0_fraction=0.5,SOLVER_FAILURE,"CGConvergenceError: CG failed: iterations=480, relative_residual=3.991e-10"
P7,14,noise=0.0_fraction=0.5,SOLVER_FAILURE,"CGConvergenceError: CG failed: iterations=500, relative_residual=3.515e-09"
P7,12,noise=0.0_fraction=0.25,SOLVER_FAILURE,"CGConvergenceError: CG failed: iterations=500, relative_residual=5.944e-08"
P7,13,noise=0.01_fraction=0.5,SOLVER_FAILURE,"CGConvergenceError: CG failed: iterations=423, relative_residual=1.252e-10"
P7,10,noise=0.01_fraction=0.25,CHECKPOINT_INVALID,locked checkpoint gate failed
P7,12,noise=0.01_fraction=0.25,SOLVER_FAILURE,"CGConvergenceError: CG failed: iterations=500, relative_residual=1.159e-08"
P7,14,noise=0.01_fraction=0.25,SOLVER_FAILURE,"CGConvergenceError: CG failed: iterations=442, relative_residual=1.031e-10"
P7,14,noise=0.05_fraction=0.5,SOLVER_FAILURE,"CGConvergenceError: CG failed: iterations=487, relative_residual=1.092e-10"
P7,12,noise=0.05_fraction=0.25,SOLVER_FAILURE,"CGConvergenceError: CG failed: iterations=500, relative_residual=2.952e-09"
P7,10,architecture=wide,SOLVER_FAILURE,"CGConvergenceError: CG failed: iterations=500, relative_residual=4.676e-09"
P7,11,architecture=wide,SOLVER_FAILURE,"CGConvergenceError: CG failed: iterations=458, relative_residual=1.013e-10"
