phase,seed,label,solve_index,iterations,relative_residual
P7,11,noise=0.01_fraction=0.5,0,246,6.493550439827074e-11
P7,11,noise=0.01_fraction=0.5,1,312,2.863549128263845e-11
P7,12,noise=0.01_fraction=0.5,0,381,7.471341593112684e-11
P7,12,noise=0.01_fraction=0.5,1,463,6.81076376298794e-11
P7,14,noise=0.01_fraction=0.5,0,339,7.174377677944663e-11
P7,14,noise=0.01_fraction=0.5,1,412,8.604242767643092e-11
P7,11,noise=0.01_fraction=0.25,0,253,3.3586994286960497e-11
P7,11,noise=0.01_fraction=0.25,1,324,7.787257123822178e-12
P7,13,noise=0.01_fraction=0.25,0,369,6.009849273860715e-12
P7,13,noise=0.01_fraction=0.25,1,447,7.252084567369645e-11
P7,10,noise=0.05_fraction=1.0,0,213,6.40652832656257e-11
P7,10,noise=0.05_fraction=1.0,1,266,2.1687127159104582e-11
P7,11,noise=0.05_fraction=1.0,0,403,6.42345635358997e-11
P7,11,noise=0.05_fraction=1.0,1,453,1.9481825938541018e-11
P7,12,noise=0.05_fraction=1.0,0,302,6.561077353779557e-11
P7,12,noise=0.05_fraction=1.0,1,360,6.634853029696367e-11
P7,13,noise=0.05_fraction=1.0,0,340,5.999768208502444e-11
P7,13,noise=0.05_fraction=1.0,1,405,8.595691927389016e-11
P7,14,noise=0.05_fraction=1.0,0,340,2.4786218594897676e-11
P7,14,noise=0.05_fraction=1.0,1,390,3.735085678410264e-11
P7,10,noise=0.05_fraction=0.5,0,327,7.045833443750038e-11
P7,10,noise=0.05_fraction=0.5,1,367,7.346096101322158e-11
P7,11,noise=0.05_fraction=0.5,0,234,5.240049839994162e-11
P7,11,noise=0.05_fraction=0.5,1,295,5.5190098947709575e-11
P7,12,noise=0.05_fraction=0.5,0,380,6.214953988403101e-12
P7,12,noise=0.05_fraction=0.5,1,406,3.957266396537326e-11
P7,13,noise=0.05_fraction=0.5,0,350,7.104255430726541e-11
P7,13,noise=0.05_fraction=0.5,1,433,5.424162280533064e-11
P7,10,noise=0.05_fraction=0.25,0,266,5.652349504669577e-11
P7,10,noise=0.05_fraction=0.25,1,284,6.954927103707007e-11
P7,11,noise=0.05_fraction=0.25,0,221,4.112752099545425e-11
P7,11,noise=0.05_fraction=0.25,1,274,6.340737111806804e-11
P7,13,noise=0.05_fraction=0.25,0,372,9.186388079911318e-11
P7,13,noise=0.05_fraction=0.25,1,419,4.2927701274988277e-11
P7,14,noise=0.05_fraction=0.25,0,372,5.4923656884340725e-11
P7,14,noise=0.05_fraction=0.25,1,438,5.5098626554765904e-11
P7,10,architecture=narrow,0,168,8.71105456787381e-11
P7,10,architecture=narrow,1,187,2.0481132125096758e-11
P7,11,architecture=narrow,0,187,2.129140520705499e-11
P7,11,architecture=narrow,1,212,7.12070039453684e-11
P7,12,architecture=narrow,0,180,3.986434258588983e-11
P7,12,architecture=narrow,1,203,4.4259904146576825e-11
P7,13,architecture=narrow,0,158,9.303023730819156e-11
P7,13,architecture=narrow,1,177,3.9149289592062406e-11
P7,14,architecture=narrow,0,168,2.1763711953436813e-11
P7,14,architecture=narrow,1,194,8.462260621531317e-11
P7,12,architecture=wide,0,342,5.629741062753895e-11
P7,12,architecture=wide,1,441,6.031698819006657e-11
P7,13,architecture=wide,0,254,9.340435340049645e-11
P7,13,architecture=wide,1,346,2.567061193432693e-11
P7,14,architecture=wide,0,244,1.9532831881588636e-11
P7,14,architecture=wide,1,275,9.08374815264779e-11
P8,0,,0,205,8.79757019296401e-11
P8,0,,1,255,9.669199951760313e-11
P8,1,,0,256,2.3845011310952036e-11
P8,1,,1,293,4.7504391832340015e-11
P8,2,,0,314,5.256362234980036e-11
P8,2,,1,405,6.368858158694152e-11
