run_id,experiment_id,center_id,pde,seed,source_commit,source_ref,input_path,input_sha256,protocol_hash,code_hash,status,failure_reason,jvp_count,vjp_count,hvp_count,new_training_seconds,peak_memory,peak_memory_reason,local_profile_valid,local_profile_reason,state_gradient,parameter_gradient,gradient_reason,dtype,device,historical_valid,historical_analysis_valid,historical_failure_reason,historical_reconstruction_seconds,state_grad_normalized,S_theta,S_lambda,n_state,n_parameter,gamma,parameterization,gamma_anchor_id,F_raw,F_G_reference,Q_G_actual,F_SO,F_star,GN_normal_residual,D_norm,algebra_identity_error,formula_identity_error,gn_identity_error,original_reproduction_error,algebraic_schur_valid,gn_solve_seconds,reference_seconds,spectrum_seconds,mu_value,lambda_min_A_numeric,eigen_residual,orthogonality_error,symmetry_error,numerical_margin,mu_source,bound_status,spd_status,U_absolute,U_relative_if_available,relative_status,absolute_error_raw,relative_error_raw,absolute_error_GN,relative_error_GN,absolute_error_SO,relative_error_SO,SO_improved,SO_improvement_factor,bound_effectivity,effectivity_status,adaptive_seconds,adaptive_absolute_error,total_seconds,cpu_seconds
day1,E0,burgers_55,burgers,55,da5e67bc43ce47c0a79b666fa46dc982d14d3f1f,codex/saeps-so-week1,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_55.json,0a9675fc92a1582e708edb6cf531f45cb49db7fb27b7a4be6e08e9621b92565f,636db57594ef71587b36b9099cbe40d033e9d7ec03bb91ff0a6289c6b1565402,298f7465d57dad8dd347d48fa4ab4e5c3592eafb8cdae0340db373f90706d32a,PASS,,0,0,0,0,,native peak memory not measured,,no original tensors/profile replay; inherited numerical gate recorded separately,,,absolute gradients not archived,float64,cpu,True,True,,102.07658019999508,3.556200775007951e-07,1.6019375604277332e-06,0.13069787919589573,65,1,0.06519609349097101,log,burgers_55,702.2247518499003,32.652057045005336,32.652057044998855,30.56730665412431,30.26248149213643,3.2697043507243366e-14,74.7719736104392,6.166265079781246e-12,5.66310849556639e-13,2.1199610022262407e-13,1.1498533800258241e-11,True,0.00011540006380528212,4.229997284710407e-05,0.001101600006222725,0.0646489896182534,0.06465202373163316,5.0387725233496294e-09,2.8099566552061765e-15,0.0,3.034113379756299e-06,dense_eigh_with_numerical_margin,numerical_bound_estimate,numerically_SPD,86480.05283011662,,no_finite_relative_guarantee,671.9622703577638,22.20446695061426,2.389575552868905,0.07896165265562274,0.30482516198787835,0.010072708742221244,True,7.839167663475002,283703.78700415674,resolved,0.004116500029340386,0.06212605977771091,0.07462799991481006,0.015625
day1,E0,burgers_56,burgers,56,da5e67bc43ce47c0a79b666fa46dc982d14d3f1f,codex/saeps-so-week1,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_56.json,910873f8b314ebfdf7e7db39d6b7679e6c727c20114b80440423621155de33bc,636db57594ef71587b36b9099cbe40d033e9d7ec03bb91ff0a6289c6b1565402,298f7465d57dad8dd347d48fa4ab4e5c3592eafb8cdae0340db373f90706d32a,PASS,,0,0,0,0,,native peak memory not measured,,no original tensors/profile replay; inherited numerical gate recorded separately,,,absolute gradients not archived,float64,cpu,True,True,,74.6596356999944,7.546746735876709e-07,3.583301476624965e-06,0.11757476109772252,65,1,0.028776864368218733,log,burgers_56,1070.667974369574,46.30577817779795,46.305778177535785,52.652208582083404,51.01364125908708,1.0913509851168478e-14,56.994297386758774,9.443799827149116e-12,3.4282417603480906e-12,4.979123476862148e-12,1.6985222924756242e-11,True,5.230004899203777e-05,3.469991497695446e-05,0.000937500037252903,0.028718707876567856,0.028720046595259823,2.068895189431413e-09,3.0543407511241474e-15,0.0,1.3387186919675282e-06,dense_eigh_with_numerical_margin,numerical_bound_estimate,numerically_SPD,113109.19518286161,,no_finite_relative_guarantee,1019.654333110487,19.98787594345614,4.707863081289133,0.09228635643662579,1.6385673229963231,0.03212017966632097,True,2.8731581639747477,69029.32433439931,resolved,0.006426400039345026,0.6647400951648024,0.06278849998489022,0.0
day1,E0,burgers_57,burgers,57,da5e67bc43ce47c0a79b666fa46dc982d14d3f1f,codex/saeps-so-week1,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_57.json,8a6128bfab73cc8b0baba77ab399adc2fad312226078996d7b58f092c1e55ed2,636db57594ef71587b36b9099cbe40d033e9d7ec03bb91ff0a6289c6b1565402,298f7465d57dad8dd347d48fa4ab4e5c3592eafb8cdae0340db373f90706d32a,CHECKPOINT_INVALID,frozen center policy failed,0,0,0,0,,native peak memory not measured,,no original tensors/profile replay; inherited numerical gate recorded separately,,,absolute gradients not archived,float64,cpu,False,False,frozen center policy failed,230.97416610000073,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049837399972602725,0.0
day1,E0,burgers_58,burgers,58,da5e67bc43ce47c0a79b666fa46dc982d14d3f1f,codex/saeps-so-week1,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_58.json,9e5771bdbdc7b11449cd6e5b12535f354f05c29462b2080aab05a6c088529115,636db57594ef71587b36b9099cbe40d033e9d7ec03bb91ff0a6289c6b1565402,298f7465d57dad8dd347d48fa4ab4e5c3592eafb8cdae0340db373f90706d32a,PASS,,0,0,0,0,,native peak memory not measured,,no original tensors/profile replay; inherited numerical gate recorded separately,,,absolute gradients not archived,float64,cpu,True,True,,120.80589040000632,5.975877708849527e-07,3.4966983103841323e-06,0.09780020979248828,65,1,0.030959539469406064,log,burgers_58,772.2117124338528,26.286162056794296,26.28616205679191,26.19036326345008,25.91798679349199,2.546907515567735e-14,17.692565238590433,2.259893539365223e-12,1.6731197716790596e-12,9.115656745414955e-14,8.066607926600399e-12,True,5.439994856715202e-05,3.850006032735109e-05,0.0009898999705910683,0.030958085576079642,0.030959526966554834,3.247084003069027e-09,2.5717692794539104e-15,0.0,1.441390475192847e-06,dense_eigh_with_numerical_margin,numerical_bound_estimate,numerically_SPD,10111.312082025013,,no_finite_relative_guarantee,746.2937256403608,28.79443265785639,0.3681752633023052,0.01420539589335311,0.27237646995808973,0.010509167707477642,True,1.3517146446569188,37122.56085696694,resolved,0.006052599987015128,0.047579766225226194,0.061631100019440055,0.03125
day1,E0,burgers_59,burgers,59,da5e67bc43ce47c0a79b666fa46dc982d14d3f1f,codex/saeps-so-week1,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_59.json,c114a44f04d4fa224ac87315a478f79a22596d161a0c12579f998cf31be74b69,636db57594ef71587b36b9099cbe40d033e9d7ec03bb91ff0a6289c6b1565402,298f7465d57dad8dd347d48fa4ab4e5c3592eafb8cdae0340db373f90706d32a,PASS,,0,0,0,0,,native peak memory not measured,,no original tensors/profile replay; inherited numerical gate recorded separately,,,absolute gradients not archived,float64,cpu,True,True,,261.1677656999964,9.960126628683424e-07,4.25606795932608e-06,0.034281766753029456,65,1,0.00985693597277944,log,burgers_59,892.3362112979551,34.27643643208762,34.27643643222814,35.55894517795252,33.54794249145027,2.5970260855013483e-14,89.92948246893475,1.519916678195635e-11,1.4060754782480711e-11,3.95166196764233e-12,9.002525682461224e-12,True,5.579995922744274e-05,3.899994771927595e-05,0.0007834000280126929,0.009764627076034838,0.009765085779472021,9.698925549792104e-10,2.7964062048626628e-15,0.0,4.587034371832505e-07,dense_eigh_with_numerical_margin,numerical_bound_estimate,numerically_SPD,828225.3642823695,,no_finite_relative_guarantee,858.7882688065048,25.598835719042366,0.7284939406373496,0.02171501100569303,2.011002686502252,0.05994414371061106,False,0.362254086246112,411846.9705890381,resolved,0.0055346000008285046,0.535287589145014,0.06504340004175901,0.03125
day1,E0,burgers_60,burgers,60,da5e67bc43ce47c0a79b666fa46dc982d14d3f1f,codex/saeps-so-week1,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_60.json,e9279d0066d2e70f795eff0bd9a61085ddafe6ea718ebaf52f0166fe438f4252,636db57594ef71587b36b9099cbe40d033e9d7ec03bb91ff0a6289c6b1565402,298f7465d57dad8dd347d48fa4ab4e5c3592eafb8cdae0340db373f90706d32a,PASS,,0,0,0,0,,native peak memory not measured,,no original tensors/profile replay; inherited numerical gate recorded separately,,,absolute gradients not archived,float64,cpu,True,True,,78.72405900000012,6.203658485272532e-07,3.0179581573105535e-06,0.1486931481190084,65,1,0.027594617995582476,log,burgers_60,1250.5036533443342,39.753145807686224,39.753145807565716,44.39025130092023,44.0105883267845,1.7791205628225222e-14,66.04427219335636,1.677667798104462e-13,3.766643511665398e-12,2.714741289464395e-12,3.809280115269185e-12,True,5.300005432218313e-05,3.330002073198557e-05,0.0007447999669238925,0.02761858377703205,0.02761987578100452,2.434764387634237e-09,2.970048891417209e-15,0.0,1.2920039724715014e-06,dense_eigh_with_numerical_margin,numerical_bound_estimate,numerically_SPD,157931.55524424496,,no_finite_relative_guarantee,1206.4930650175497,27.41369998930804,4.2574425190982765,0.0967367781252736,0.37966297413572647,0.00862662801120521,True,11.213741684424235,415978.29128258815,resolved,0.006542000104673207,0.025634068252429643,0.0585220999782905,0.015625
day1,E0,burgers_61,burgers,61,da5e67bc43ce47c0a79b666fa46dc982d14d3f1f,codex/saeps-so-week1,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_61.json,309a291b6ca56fcac0ddc00709cca5568f3f62042b046f50b4f7589a967f094e,636db57594ef71587b36b9099cbe40d033e9d7ec03bb91ff0a6289c6b1565402,298f7465d57dad8dd347d48fa4ab4e5c3592eafb8cdae0340db373f90706d32a,CHECKPOINT_INVALID,frozen center policy failed,0,0,0,0,,native peak memory not measured,,no original tensors/profile replay; inherited numerical gate recorded separately,,,absolute gradients not archived,float64,cpu,False,False,frozen center policy failed,292.63061460001336,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04996149998623878,0.0
day1,E0,burgers_62,burgers,62,da5e67bc43ce47c0a79b666fa46dc982d14d3f1f,codex/saeps-so-week1,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_62.json,1ec4ec3b09ca34c62c863d8744fac2f5560b445cd55c6c1c9b4778b8babb352e,636db57594ef71587b36b9099cbe40d033e9d7ec03bb91ff0a6289c6b1565402,298f7465d57dad8dd347d48fa4ab4e5c3592eafb8cdae0340db373f90706d32a,PASS,,0,0,0,0,,native peak memory not measured,,no original tensors/profile replay; inherited numerical gate recorded separately,,,absolute gradients not archived,float64,cpu,True,True,,134.6745382000081,8.560202535357648e-07,4.221514349862923e-06,0.1222878878466641,65,1,0.050752037851350476,log,burgers_62,704.7487969946567,24.004592652904194,24.004592653261284,22.85717645700447,22.411098149460372,3.713184175320554e-14,129.74545430249168,1.6789731362996723e-11,2.325265170661843e-11,1.5622680157009643e-11,1.9033115302736417e-11,True,5.2200048230588436e-05,3.570003900676966e-05,0.0007618999807164073,0.05032809287189251,0.050330452541611115,3.5856396137659678e-09,2.907467850106004e-15,0.0,2.3596697186092366e-06,dense_eigh_with_numerical_margin,numerical_bound_estimate,numerically_SPD,334482.82959995547,,no_finite_relative_guarantee,682.3376988451963,30.44641962612447,1.5934945034438215,0.07110291928158645,0.4460783075440986,0.01990434847815773,True,3.57223042791941,749829.8481301717,resolved,0.0049724000273272395,0.08835615966415844,0.05847739998716861,0.015625
day1,E0,burgers_63,burgers,63,da5e67bc43ce47c0a79b666fa46dc982d14d3f1f,codex/saeps-so-week1,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_63.json,044553b825d9c26331914cf41dfbde143970d44e37bf20df0f6ff1ae54cd5205,636db57594ef71587b36b9099cbe40d033e9d7ec03bb91ff0a6289c6b1565402,298f7465d57dad8dd347d48fa4ab4e5c3592eafb8cdae0340db373f90706d32a,CHECKPOINT_INVALID,frozen center policy failed,0,0,0,0,,native peak memory not measured,,no original tensors/profile replay; inherited numerical gate recorded separately,,,absolute gradients not archived,float64,cpu,False,False,frozen center policy failed,189.421866699995,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05509080004412681,0.03125
day1,E0,burgers_64,burgers,64,da5e67bc43ce47c0a79b666fa46dc982d14d3f1f,codex/saeps-so-week1,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_64.json,e627436c9468e2e3060aa3d3ad9120ccdd6d8c67e6a301c3b7b7ddc5311be627,636db57594ef71587b36b9099cbe40d033e9d7ec03bb91ff0a6289c6b1565402,298f7465d57dad8dd347d48fa4ab4e5c3592eafb8cdae0340db373f90706d32a,PASS,,0,0,0,0,,native peak memory not measured,,no original tensors/profile replay; inherited numerical gate recorded separately,,,absolute gradients not archived,float64,cpu,True,True,,119.1545088999992,7.633305289090392e-07,3.312143519342227e-06,0.06521543365960902,65,1,0.02297025667914791,log,burgers_64,1010.2533599991707,38.10917881817204,38.10917881814987,42.935894352105606,40.97522289853089,8.924445784172523e-15,40.81776614805231,6.497623648690257e-13,5.82269658039839e-12,5.163263442919557e-13,4.328261185664055e-13,True,6.639992352575064e-05,4.0100072510540485e-05,0.0009210999123752117,0.02291792920342724,0.0229190000524817,1.904864173763142e-09,3.506592731754834e-15,0.0,1.0708490544608694e-06,dense_eigh_with_numerical_margin,numerical_bound_estimate,numerically_SPD,72698.10542341368,,no_finite_relative_guarantee,969.2781371006398,23.655225482588886,2.866044080358847,0.06994578374245153,1.9606714535747187,0.047850171747729875,True,1.4617666183354905,37078.16793622902,resolved,0.005977699998766184,0.4418361798274191,0.06153579999227077,0.015625
day1,E0,burgers_65,burgers,65,da5e67bc43ce47c0a79b666fa46dc982d14d3f1f,codex/saeps-so-week1,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_65.json,2cbb071aa476043dc13283501ddc231a6ddf14f6dc242c34c39d17a78b01bc02,636db57594ef71587b36b9099cbe40d033e9d7ec03bb91ff0a6289c6b1565402,298f7465d57dad8dd347d48fa4ab4e5c3592eafb8cdae0340db373f90706d32a,PASS,,0,0,0,0,,native peak memory not measured,,no original tensors/profile replay; inherited numerical gate recorded separately,,,absolute gradients not archived,float64,cpu,True,True,,526.6444667000032,9.958042050239219e-07,5.23658106888e-06,0.11916742475300122,65,1,0.025444430008863993,log,burgers_65,732.6923392031498,25.775751814486853,25.775751814516752,23.8636077934043,23.42099248952536,1.5313777816041677e-14,46.07496631994193,1.2730062521654081e-11,7.860176953723803e-13,1.2529387217087346e-12,1.2913995984347958e-11,True,5.410006269812584e-05,4.3599982745945454e-05,0.000764199998229742,0.025380818931326214,0.025382004051967486,2.087385233704772e-09,3.268903738760579e-15,0.0,1.1851206412728229e-06,dense_eigh_with_numerical_margin,numerical_bound_estimate,numerically_SPD,83642.00253458312,,no_finite_relative_guarantee,709.2713467136244,30.283573453516038,2.354759324961492,0.10054054391628418,0.442615303878938,0.01889823003392823,True,5.3201037206014785,188972.23345323026,resolved,0.006297899992205203,0.12649600900510904,0.06704080000054091,0.015625
