pde,planned_n,matrix_reference_n,SO_improved_n,median_improvement_factor,numerical_bound_n,verified_bound_n,finite_relative_bound_n,adaptive_tolerance_met_n,median_bound_effectivity,median_relative_error_raw,median_relative_error_GN,median_relative_error_SO,SO_continue_gate
all,25,21,19,7.839167663475002,21,0,0,9,227002.1994666458,23.655225482588886,0.10054054391628418,0.012942698907758704,True
burgers,15,12,10,3.222694295947079,12,0,0,1,213864.46334458113,27.726845370048686,0.07503228596860459,0.019735745772180454,True
allen_cahn,10,9,9,41.84067708872064,9,0,0,8,227002.1994666458,20.372758405463383,0.27856670260141503,0.007030501089890782,True
