seed,benchmark,state_parameters,residuals,alpha,gamma,lambda_max,method,repeat,initial_guess,warmup_discarded,status,iterations,relative_residual,setup_seconds,spectral_seconds,preconditioner_seconds,solve_seconds,verification_seconds,reported_total_seconds,accuracy_vs_dense_reference,jacobian_setup_seconds_per_centre
215,coupled_manufactured_reaction_diffusion,50,736,1e-08,0.0034764247629556176,347642.47629556176,explicit,1,zero,True,PASS,1,3.678409033929998e-15,0.0,0.0001281000004382804,0.0,0.00011409999569877982,3.599999763537198e-05,0.000324200009345077,0.0,0.7907908000051975
215,coupled_manufactured_reaction_diffusion,50,736,1e-08,0.0034764247629556176,347642.47629556176,CG,1,zero,True,PASS,650,7.005515523561471e-11,0.03150199999799952,0.0,0.0,10.83001819999481,0.03177539999887813,10.893647000004421,2.992839728037326e-08,0.7907908000051975
215,coupled_manufactured_reaction_diffusion,50,736,1e-08,0.0034764247629556176,347642.47629556176,scaled_LSQR,1,zero,True,PASS,4300,1.8188083856484854e-15,0.0010087999980896711,0.0,0.6749746999994386,146.98847099998966,1.300009898841381e-06,147.6644978999975,1.193630192056384e-12,0.7907908000051975
215,coupled_manufactured_reaction_diffusion,50,736,1e-06,0.3476424762955617,347642.47629556176,explicit,1,zero,True,PASS,1,1.6857084373340063e-15,0.0,8.379999781027436e-05,0.0,6.729998858645558e-05,1.2800010154023767e-05,0.00020629999926313758,0.0,0.7907908000051975
215,coupled_manufactured_reaction_diffusion,50,736,1e-06,0.3476424762955617,347642.47629556176,CG,1,zero,True,PASS,233,5.01691274795683e-11,0.022914000001037493,0.0,0.0,4.044200599993928,0.030621500001871027,4.097976399993058,2.332883438054252e-09,0.7907908000051975
215,coupled_manufactured_reaction_diffusion,50,736,1e-06,0.3476424762955617,347642.47629556176,scaled_LSQR,1,zero,True,PASS,3755,5.212848487766869e-16,0.0011405999975977466,0.0,0.6335035000083735,127.08790410000074,6.999907782301307e-07,127.72257810000156,8.178913385752953e-14,0.7907908000051975
215,coupled_manufactured_reaction_diffusion,50,736,0.0001,34.76424762955618,347642.47629556176,explicit,1,zero,True,PASS,1,3.385564106502683e-16,0.0,0.00010039999324362725,0.0,6.44000101601705e-05,1.550000160932541e-05,0.0002066000015474856,0.0,0.7907908000051975
215,coupled_manufactured_reaction_diffusion,50,736,0.0001,34.76424762955618,347642.47629556176,CG,1,zero,True,PASS,79,5.6077949523421384e-11,0.019353099996806122,0.0,0.0,1.5532644999912009,0.030839700004435144,1.6037219999998342,2.1472131742267418e-10,0.7907908000051975
215,coupled_manufactured_reaction_diffusion,50,736,0.0001,34.76424762955618,347642.47629556176,scaled_LSQR,1,zero,True,PASS,3356,3.6970624777705326e-16,0.001200400001835078,0.0,0.6525820999959251,117.55744960000447,6.00004568696022e-07,118.2112621999986,1.0992732574100681e-14,0.7907908000051975
215,coupled_manufactured_reaction_diffusion,50,736,0.01,3476.4247629556176,347642.47629556176,explicit,1,zero,True,PASS,1,2.689035158336165e-16,0.0,9.599998884368688e-05,0.0,6.800000846851617e-05,1.4999997802078724e-05,0.00020480000239331275,0.0,0.7907908000051975
215,coupled_manufactured_reaction_diffusion,50,736,0.01,3476.4247629556176,347642.47629556176,CG,1,zero,True,PASS,29,6.196946559167148e-11,0.036233299993909895,0.0,0.0,0.6618509999971138,0.03435590000299271,0.7327311999979429,2.6379397941299184e-11,0.7907908000051975
215,coupled_manufactured_reaction_diffusion,50,736,0.01,3476.4247629556176,347642.47629556176,scaled_LSQR,1,zero,True,PASS,3118,6.454521832028035e-17,0.0010766000050352886,0.0,0.6315714999946067,106.20454590000736,5.999900167807937e-07,106.83722770000168,6.111094858816305e-16,0.7907908000051975
