center,pde,seed,historical_status,alpha,gamma,status,failure_reason,error_GN,error_SO,strict_SO_win,strict_GN_win,logR_floor,logR,relative_GN,relative_SO,reference_resolved
allen_cahn_75,allen_cahn,75,PASS,1e-12,6.391865103171852e-07,PASS,,0.9590944636646839,4.571408050769406,False,True,-1.5615869715326431,-1.5615869715326431,0.20087369923614234,0.9574402529311009,True
allen_cahn_75,allen_cahn,75,PASS,1e-10,6.391865103171852e-05,PASS,,1.1415557667477714,0.7028022701372265,True,False,0.48507173225448896,0.48507173225448896,0.23580331696031476,0.14517302727814432,True
allen_cahn_75,allen_cahn,75,PASS,1e-08,0.006391865103171852,PASS,,1.2110470237688986,0.008152454703449052,True,False,5.000921500815554,5.000921500815554,0.24478447395463604,0.0016478256391830987,True
allen_cahn_75,allen_cahn,75,PASS,1e-06,0.6391865103171852,PASS,,1.1980285105728967,0.004096142480563003,True,False,5.678386904441173,5.678386904441173,0.20209483469133968,0.000690976241530092,True
allen_cahn_75,allen_cahn,75,PASS,0.0001,63.918651031718525,PASS,,1.2367804729990155,0.0011220786026768792,True,False,7.005084028874562,7.005084028874562,0.06940108115493429,6.296466500458352e-05,True
allen_cahn_75,allen_cahn,75,PASS,0.01,6391.865103171852,PASS,,1.3667899675306572,0.0002545227825194729,True,False,8.588585108356641,8.588585108356641,0.022748342833959878,4.236182334778888e-06,True
allen_cahn_76,allen_cahn,76,PASS,1e-12,7.151444019761575e-07,CHECKPOINT_INVALID,state_not_SPD,,,,,,,,,
allen_cahn_76,allen_cahn,76,PASS,1e-10,7.151444019761575e-05,PASS,,1.008057691510345,0.034594254905243815,True,False,3.3720930555588127,3.3720930555588127,0.12640887466499198,0.004338066034587538,True
allen_cahn_76,allen_cahn,76,PASS,1e-08,0.007151444019761574,PASS,,0.9787319746897367,0.02376605092280215,True,False,3.717999699931004,3.717999699931004,0.11989208122932175,0.0029112784515291385,True
allen_cahn_76,allen_cahn,76,PASS,1e-06,0.7151444019761574,PASS,,1.0741909816378268,0.002733465316737238,True,False,5.973752930966725,5.973752930966725,0.10815905917971497,0.000275229490856368,True
allen_cahn_76,allen_cahn,76,PASS,0.0001,71.51444019761574,PASS,,1.1480069636352113,0.00048046680156232924,True,False,7.77877978714572,7.77877978714572,0.027419512088580948,1.1475684112475742e-05,True
allen_cahn_76,allen_cahn,76,PASS,0.01,7151.444019761575,PASS,,1.2524079483768986,0.00028044787040926167,True,False,8.404190752482346,8.404190752482346,0.011333949702818863,2.537976592691405e-06,True
allen_cahn_77,allen_cahn,77,PASS,1e-12,1.5039294431458957e-07,CHECKPOINT_INVALID,state_not_SPD,,,,,,,,,
allen_cahn_77,allen_cahn,77,PASS,1e-10,1.5039294431458958e-05,PASS,,2.0411375707896866,0.7982905667993236,True,False,0.938789914188151,0.938789914188151,0.48229197408276236,0.18862478397491778,True
allen_cahn_77,allen_cahn,77,PASS,1e-08,0.0015039294431458958,PASS,,1.8060748557256971,0.043165526510364316,True,False,3.7338690022357275,3.7338690022357275,0.39049687607862016,0.009332948301200525,True
allen_cahn_77,allen_cahn,77,PASS,1e-06,0.15039294431458958,PASS,,1.7100575465878194,0.011657463928358425,True,False,4.988335646496456,4.988335646496456,0.29947100532227144,0.0020414941293055077,True
allen_cahn_77,allen_cahn,77,PASS,0.0001,15.03929443145896,PASS,,1.775000546570709,0.0010092690129539506,True,False,7.4723296905671495,7.4723296905671495,0.11506170491478522,6.542432540232342e-05,True
allen_cahn_77,allen_cahn,77,PASS,0.01,1503.929443145896,PASS,,1.75989952825892,0.0005714069499518359,True,False,8.032665626421764,8.032665626421764,0.029169299641239925,9.470734137147814e-06,True
allen_cahn_78,allen_cahn,78,PASS,1e-12,1.31453212793974e-07,CHECKPOINT_INVALID,state_not_SPD,,,,,,,,,
allen_cahn_78,allen_cahn,78,PASS,1e-10,1.31453212793974e-05,PASS,,1.2737268543621525,1.0469245908105336,True,False,0.19609022889745648,0.19609022889745648,0.27112255949848096,0.22284595295322832,True
allen_cahn_78,allen_cahn,78,PASS,1e-08,0.00131453212793974,PASS,,1.3505670594506682,0.007027422427469787,True,False,5.25845984196337,5.25845984196337,0.2816779775391526,0.0014656585341923745,True
allen_cahn_78,allen_cahn,78,PASS,1e-06,0.13145321279397398,PASS,,1.3532192326122043,0.004489188585992565,True,False,5.708569679887106,5.708569679887106,0.25080128753855807,0.0008320117319031519,True
allen_cahn_78,allen_cahn,78,PASS,0.0001,13.1453212793974,PASS,,1.448459449877106,0.0016867180387833969,True,False,6.755471170311509,6.755471170311509,0.07688093802223914,8.952716281543224e-05,True
allen_cahn_78,allen_cahn,78,PASS,0.01,1314.5321279397401,PASS,,1.5032633907156026,0.0009016556021919087,True,False,7.418916265304882,7.418916265304882,0.018508597521954127,1.110143488323826e-05,True
allen_cahn_79,allen_cahn,79,PASS,1e-12,9.112637270293261e-07,PASS,,1.7163623927266656,0.17063073415508256,True,False,2.3084606701799895,2.3084606701799895,0.5519526603819044,0.05487191286578934,True
allen_cahn_79,allen_cahn,79,PASS,1e-10,9.112637270293261e-05,PASS,,1.646681420438398,0.02643104235988858,True,False,4.131978114902982,4.131978114902982,0.5130511957987574,0.00823503424562732,True
allen_cahn_79,allen_cahn,79,PASS,1e-08,0.009112637270293262,PASS,,1.6183123352943483,0.009966722876612266,True,False,5.089887285365308,5.089887285365308,0.4667233118896695,0.002874415406846004,True
allen_cahn_79,allen_cahn,79,PASS,1e-06,0.9112637270293261,PASS,,1.6323725884343503,0.0026601838975608416,True,False,6.419394556378608,6.419394556378608,0.3179921478264668,0.0005182135482991017,True
allen_cahn_79,allen_cahn,79,PASS,0.0001,91.12637270293261,PASS,,1.648383939520599,0.0015762397704719433,True,False,6.952508537857382,6.952508537857382,0.09179051471764488,8.777315550169739e-05,True
allen_cahn_79,allen_cahn,79,PASS,0.01,9112.637270293262,PASS,,1.6875336701476442,0.0012341544358136503,True,False,7.2206373069968794,7.2206373069968794,0.02682896951975705,1.9620996206979653e-05,True
allen_cahn_80,allen_cahn,80,PASS,1e-12,2.070161076727044e-06,PASS,,1.2251426130003011,4.317399170108274,False,True,-1.2595959210020604,-1.2595959210020604,0.37461630623357356,1.3201468241162713,True
allen_cahn_80,allen_cahn,80,PASS,1e-10,0.00020701610767270438,PASS,,1.4051838259467502,0.08344851490413419,True,False,2.8236935564683825,2.8236935564683825,0.4118902813381611,0.024460594867691057,True
allen_cahn_80,allen_cahn,80,PASS,1e-08,0.02070161076727044,PASS,,1.3894788068779178,0.026671340458960913,True,False,3.9530943988700664,3.9530943988700664,0.36626326701186146,0.0070305011085663605,True
allen_cahn_80,allen_cahn,80,PASS,1e-06,2.0701610767270435,PASS,,1.4178706511414845,0.003088238106116137,True,False,6.129310747615294,6.129310747615294,0.29948509928957406,0.0006523030116290535,True
allen_cahn_80,allen_cahn,80,PASS,0.0001,207.0161076727044,PASS,,1.4751132577679442,0.0013627993032656605,True,False,6.986949155201068,6.986949155201068,0.1297355262167851,0.00011985756605873595,True
allen_cahn_80,allen_cahn,80,PASS,0.01,20701.61076727044,PASS,,1.5064679596131327,0.00044519563991229916,True,False,8.126764543425024,8.126764543425024,0.03983608803906875,1.1772472552758625e-05,True
allen_cahn_81,allen_cahn,81,CHECKPOINT_INVALID,1e-12,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
allen_cahn_81,allen_cahn,81,CHECKPOINT_INVALID,1e-10,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
allen_cahn_81,allen_cahn,81,CHECKPOINT_INVALID,1e-08,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
allen_cahn_81,allen_cahn,81,CHECKPOINT_INVALID,1e-06,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
allen_cahn_81,allen_cahn,81,CHECKPOINT_INVALID,0.0001,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
allen_cahn_81,allen_cahn,81,CHECKPOINT_INVALID,0.01,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
allen_cahn_82,allen_cahn,82,PASS,1e-12,2.747798066609902e-07,CHECKPOINT_INVALID,state_not_SPD,,,,,,,,,
allen_cahn_82,allen_cahn,82,PASS,1e-10,2.7477980666099024e-05,PASS,,0.9503483808407367,0.18423709327103666,True,False,1.6406051555184502,1.6406051555184502,0.1753411922018838,0.0339921151371614,True
allen_cahn_82,allen_cahn,82,PASS,1e-08,0.0027477980666099026,PASS,,0.8663668124583381,0.05137676996402263,True,False,2.8251222657722317,2.8251222657722317,0.15552413502934076,0.009222799851466233,True
allen_cahn_82,allen_cahn,82,PASS,1e-06,0.2747798066609902,PASS,,0.7921397232555449,0.017047018396681324,True,False,3.838762480164175,3.838762480164175,0.12256265638802762,0.0026375749086361873,True
allen_cahn_82,allen_cahn,82,PASS,0.0001,27.477980666099025,PASS,,0.847559616713113,0.0065572010439609585,True,False,4.861797339206334,4.861797339206334,0.045723411766920186,0.0003537421999106287,True
allen_cahn_82,allen_cahn,82,PASS,0.01,2747.7980666099024,PASS,,1.1502556207554449,0.001149110076994475,True,False,6.9087516788648236,6.9087516788648236,0.01879520384770354,1.8776485635755355e-05,True
allen_cahn_83,allen_cahn,83,PASS,1e-12,5.868718672332417e-07,CHECKPOINT_INVALID,state_not_SPD,,,,,,,,,
allen_cahn_83,allen_cahn,83,PASS,1e-10,5.868718672332417e-05,PASS,,1.1202546998750478,0.0625480852665703,True,False,2.885375723839482,2.885375723839482,0.22828674524147316,0.012746118189179773,True
allen_cahn_83,allen_cahn,83,PASS,1e-08,0.0058687186723324165,PASS,,1.0972248140404588,0.06508514700401236,True,False,2.824843008031321,2.824843008031321,0.2181918778218997,0.01294269894500964,True
allen_cahn_83,allen_cahn,83,PASS,1e-06,0.5868718672332417,PASS,,1.10642462074847,0.014119703942526485,True,False,4.361317768527295,4.361317768527295,0.1532009049918706,0.001955082507788936,True
allen_cahn_83,allen_cahn,83,PASS,0.0001,58.68718672332417,PASS,,1.260794100063194,0.0017191832936873652,True,False,6.597647690767537,6.597647690767537,0.0590013677880761,8.045260189659847e-05,True
allen_cahn_83,allen_cahn,83,PASS,0.01,5868.718672332417,PASS,,1.3683281213844793,0.0006574131512806503,True,False,7.6407875371969185,7.6407875371969185,0.022023919347629095,1.0581390527314464e-05,True
allen_cahn_84,allen_cahn,84,PASS,1e-12,1.4540494347827438e-07,CHECKPOINT_INVALID,state_not_SPD,,,,,,,,,
allen_cahn_84,allen_cahn,84,PASS,1e-10,1.454049434782744e-05,PASS,,12.793082813926588,12.86306289552141,False,True,-0.005455243038916896,-0.005455243038916896,2.0555904606342428,2.066834848734672,True
allen_cahn_84,allen_cahn,84,PASS,1e-08,0.0014540494347827439,PASS,,1.464925512120928,0.2845870736486802,True,False,1.6385204099307504,1.6385204099307504,0.278566703141924,0.054116391725845356,True
allen_cahn_84,allen_cahn,84,PASS,1e-06,0.14540494347827437,PASS,,1.2516506741428373,0.011776524201906113,True,False,4.666110423041462,4.666110423041462,0.19712586947434008,0.0018547168316560415,True
allen_cahn_84,allen_cahn,84,PASS,0.0001,14.54049434782744,PASS,,1.327802302048994,0.0014823807356947327,True,False,6.797631049459655,6.797631049459655,0.13129339331297488,0.0001465781439532134,True
allen_cahn_84,allen_cahn,84,PASS,0.01,1454.049434782744,PASS,,1.3992228263686428,0.0005659323370821312,True,False,7.812952991158975,7.812952991158975,0.036898787202779365,1.492415395434914e-05,True
burgers_55,burgers,55,PASS,1e-12,6.519609349097101e-06,CHECKPOINT_INVALID,state_not_SPD,,,,,,,,,
burgers_55,burgers,55,PASS,1e-10,0.0006519609349097101,PASS,,7.607411231289234,4.988336871444403,True,False,0.42202037222893823,0.42202037222893823,0.6459943862656211,0.4235918787328113,True
burgers_55,burgers,55,PASS,1e-08,0.06519609349097101,PASS,,2.389575552766246,0.3048251618916993,True,False,2.0591326636258485,2.0591326636258485,0.07896165267807176,0.010072708742339518,True
burgers_55,burgers,55,PASS,1e-06,6.5196093490971005,PASS,,5.447014595287783,0.1672657287316497,True,False,3.4832392190643864,3.4832392190643864,0.04810571555111688,0.001477219755345616,True
burgers_55,burgers,55,PASS,0.0001,651.9609349097101,PASS,,8.354491507472915,0.05088914038776693,True,False,5.100905029428951,5.100905029428951,0.032460213812965114,0.00019772267124424606,True
burgers_55,burgers,55,PASS,0.01,65196.09349097101,PASS,,7.744433909003305,0.004752545505994021,True,False,7.396049288520213,7.396049288520213,0.01537402682198536,9.434616259932871e-06,True
burgers_56,burgers,56,PASS,1e-12,2.8776864368218734e-06,CHECKPOINT_INVALID,state_not_SPD,,,,,,,,,
burgers_56,burgers,56,PASS,1e-10,0.00028776864368218734,PASS,,3.4256037460897915,4.955523527302603,False,True,-0.369225086158586,-0.369225086158586,0.07936250818908593,0.11480685031527056,True
burgers_56,burgers,56,PASS,1e-08,0.028776864368218733,PASS,,4.707863081769574,1.6385673227780444,True,False,1.0554118305704943,1.0554118305704943,0.09228635646373932,0.03212017966820109,True
burgers_56,burgers,56,PASS,1e-06,2.877686436821873,PASS,,7.025513934153764,0.30874085148752783,True,False,3.1248013927191365,3.1248013927191365,0.08332190865667959,0.0036616363254466846,True
burgers_56,burgers,56,PASS,0.0001,287.76864368218736,PASS,,7.533139189454005,0.1451990064366555,True,False,3.9489618653042404,3.9489618653042404,0.035495665653794736,0.000684168346836595,True
burgers_56,burgers,56,PASS,0.01,28776.864368218732,PASS,,7.901032235111757,0.020491691681513657,True,False,5.9547291724257905,5.9547291724257905,0.016043882516714736,4.1610549624886514e-05,True
burgers_57,burgers,57,CHECKPOINT_INVALID,1e-12,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
