data_seed,failure_reason,gamma,initialization_seed,joint_lbfgs_iterations,kappa_estimate,noise_level,normalized_state_gradient_after_polish,objective_after_joint,objective_after_polish,parameter_relative_error,polish_lbfgs_iterations,status
916001,state Hessian block is not positive definite,0.000554652901117468,926001,1000,1.1880540889965168,0.0,0.00021355277309780742,0.033421188405762865,0.016587462528358875,0.009954925836235992,1000,REFERENCE_REDUCTION_FAILED
916001,state Hessian block is not positive definite,0.0004713627038110023,926002,1000,1.1832808038512383,0.0,7.030489132710793e-06,0.06427757187518414,0.008636819895189022,0.013932663457301339,1000,REFERENCE_REDUCTION_FAILED
916001,state Hessian block is not positive definite,0.000733126961618497,926001,1000,1.1772321387197253,0.02,1.9310544118457108e-05,0.06860692735728777,0.021411588544755222,0.018973217733562198,1000,REFERENCE_REDUCTION_FAILED
916001,state Hessian block is not positive definite,0.000786867123772839,926002,1000,1.1711165772132828,0.02,1.9279915275291463e-05,0.08262443659944999,0.05792298277203402,0.024069518988930987,1000,REFERENCE_REDUCTION_FAILED
916002,state Hessian block is not positive definite,0.0007157219677486952,926001,1000,1.2187787596016846,0.0,6.632569093597087e-06,0.06437340111375338,0.01194208277245213,0.01564896633473719,1000,REFERENCE_REDUCTION_FAILED
916002,state Hessian block is not positive definite,0.0005201952971440702,926002,1000,1.195197299263752,0.0,6.900082168741732e-06,0.08118733942962758,0.042899582893387654,0.004002250613539908,1000,REFERENCE_REDUCTION_FAILED
916002,state Hessian block is not positive definite,0.0008263767309281036,926001,1000,1.195141366337006,0.02,6.88372138363542e-05,0.07891680375360338,0.034382591824867595,0.0040488613858282365,1000,REFERENCE_REDUCTION_FAILED
916002,state Hessian block is not positive definite,0.000741168707788309,926002,1000,1.203570416112538,0.02,1.2902732750190922e-05,0.07662445248753871,0.039475631834726986,0.0029753467604483794,1000,REFERENCE_REDUCTION_FAILED
