root,offset,method,before,after,improved
burgers_55,+0.05,RAW,0.2764644867270827,0.27138377794554,True
burgers_55,+0.05,SAEPS-GN,0.2764644867270827,0.20036959253583495,True
burgers_55,+0.05,SO,0.2764644867270827,0.20036959253583495,True
burgers_55,+0.05,EXACT-REDUCED-ORACLE,0.2764644867270827,0.20036959253583495,True
burgers_55,-0.05,RAW,0.3453179943128105,0.3375412315222746,True
burgers_55,-0.05,SAEPS-GN,0.3453179943128105,0.2764644867270824,True
burgers_55,-0.05,SO,0.3453179943128105,0.2764644867270824,True
burgers_55,-0.05,EXACT-REDUCED-ORACLE,0.3453179943128105,0.2764644867270824,True
allen_cahn_84,+0.05,RAW,0.15772197933035526,0.15069527544330974,True
allen_cahn_84,+0.05,SAEPS-GN,0.15772197933035526,0.06913882662158943,True
allen_cahn_84,+0.05,SO,0.15772197933035526,0.06913882662158943,True
allen_cahn_84,+0.05,EXACT-REDUCED-ORACLE,0.15772197933035526,0.06913882662158943,True
allen_cahn_84,-0.05,RAW,0.23787533050884013,0.22637307192140932,True
allen_cahn_84,-0.05,SAEPS-GN,0.23787533050884013,0.15772197933035526,True
allen_cahn_84,-0.05,SO,0.23787533050884013,0.15772197933035526,True
allen_cahn_84,-0.05,EXACT-REDUCED-ORACLE,0.23787533050884013,0.15772197933035526,True
