center,all_checks_pass,route,load_seconds,GN_jacobian_and_solve_seconds,SO_increment_cold_seconds,SO_increment_steady_median_seconds,checkpoint_to_SO_cold_seconds,validation_hessian_seconds,validation_spectrum_seconds,validation_other_seconds,hvp_count,jvp_count,vjp_count,explicit_jacobians,explicit_hessians,implicit_internal_AD_operation_counts,peak_native_memory
burgers_59,True,"explicit Jacobian GN + true AD directional HVP; dense-assisted, not end-to-end matrix-free",0.01095339993480593,0.7941109000239521,0.007318099960684776,0.006224800017662346,0.8123823999194428,0.11165820003952831,0.0011743000941351056,0.010947800008580089,5,1,1,1,1,,
burgers_67,True,"explicit Jacobian GN + true AD directional HVP; dense-assisted, not end-to-end matrix-free",0.010962100001052022,0.7984545000363141,0.006397599936462939,0.006054299999959767,0.8158141999738291,0.10831830010283738,0.0011617999989539385,0.011318099917843938,5,1,1,1,1,,
burgers_55,True,"explicit Jacobian GN + true AD directional HVP; dense-assisted, not end-to-end matrix-free",0.011153599945828319,0.8151401999639347,0.006576700019650161,0.006183499936014414,0.8328704999294132,0.11297689995262772,0.0011393999448046088,0.011613600072450936,5,1,1,1,1,,
allen_cahn_84,True,"explicit Jacobian GN + true AD directional HVP; dense-assisted, not end-to-end matrix-free",0.008862199960276484,0.7862492999993265,0.006199900060892105,0.005672600003890693,0.8013114000204951,0.10037300002295524,0.0005684999050572515,0.011230900068767369,5,1,1,1,1,,
