center,status,true_relative_error,estimated_pass,quadrant,initial_q,initial_U,initial_effectivity,initial_mu_effective,initial_min_eigen_energy_fraction,terminal_q,terminal_U,terminal_effectivity,terminal_mu_effective,terminal_min_eigen_energy_fraction,failure_reason
allen_cahn_75,PASS,0.000470185516882544,True,Q1,0.008152454707009406,7705.744881189697,945205.4820451032,6041.45497462978,1.3461973226163837e-12,0.0023261964428037706,0.22656533124400252,97.39733372256504,0.6225330020946589,1.1937135291901978e-11,
allen_cahn_76,PASS,0.0005481072286209614,True,Q1,0.023766050918520583,5133.074160248461,215983.47061725435,1531.594489004584,0.00016982779832621823,0.004474441237002264,0.6499634977697164,145.2613775312807,1.0300858887779643,0.003264761812326289,
allen_cahn_77,PASS,0.0006873851767075928,True,Q1,0.04316552651227255,6316.875069635576,146340.73947504387,219.32794040674935,7.579225964405126e-05,0.003179203644815958,0.043142483395148014,13.57021701503664,0.020338340228820414,2.0836210221975466e-05,
allen_cahn_78,PASS,0.0005113867640311844,True,Q1,0.007027422428625536,6154.443809459493,875775.4172269412,1147.4953082287686,0.00034001836943746194,0.002451956400425989,0.33051200771984207,134.79522215909742,0.17661706638100025,0.0009061050081800836,
allen_cahn_79,PASS,0.0011741618499244125,True,Q1,0.009966722891604305,16838.22451148228,1689444.4337031122,15395.328768366679,6.857980040029877e-08,0.004071278568062536,0.18880057171628328,46.37377879208369,0.42258837076443323,2.298955156857219e-06,
allen_cahn_80,PASS,0.0013890010430303646,True,Q1,0.026671340467459576,8265.57665083607,309904.8081561744,6415.374370915679,0.0005258444875051034,0.005269399613799436,0.18164574403445455,34.471810328972396,0.7136048318169657,0.010975953585433762,
allen_cahn_81,CHECKPOINT_INVALID,,,,,,,,,,,,,,frozen center policy failed
allen_cahn_82,PASS,0.002021775022430007,True,Q1,0.051376769972835926,9735.574856202134,189493.7120677216,515.8411835663231,7.097693521179874e-05,0.011262552807391246,0.45512174290209173,40.41017615503744,0.11000488020672908,3.679648193832482e-06,
allen_cahn_83,PASS,0.0005190390877932167,True,Q1,0.06508514697284819,14774.47150950429,227002.19937534767,1326.419732485459,0.00024411866371498364,0.0026100998015274267,0.3284802617011875,125.84969414156551,0.7353651995266115,0.005159880308102137,
allen_cahn_84,PASS,0.003038063768433155,False,Q2,0.28458707362151414,12166.063415988916,42749.880594257564,62.03597146665412,0.21827866432160611,0.01597655818499278,278.4097311185865,17426.139466014927,25.287731232466893,0.2645523487891159,
burgers_55,PASS,0.002052906988917119,True,Q1,0.30482516217636446,86480.05283011666,283703.786828731,18341.163169349806,3.926406653443067e-05,0.06212605978422428,1.6264084334745883,26.17916602345967,1.6924566324651762,5.333040133091728e-05,
burgers_56,PASS,0.013030634132906276,False,Q2,1.6385673224990862,113109.19518286159,69029.3243553468,1982.433001078056,2.829195247835975e-07,0.6647400947206241,210825.93028505746,317155.42955726635,9108.294132922527,7.5742755869933916e-06,
burgers_57,CHECKPOINT_INVALID,,,,,,,,,,,,,,frozen center policy failed
burgers_58,PASS,0.0018357817135247426,False,Q2,0.27237647001727716,10111.312082025019,37122.560848900226,1149.243415563477,4.55655516485418e-13,0.047579766271914264,132.35562475346748,2781.762819032496,86.11805140396456,4.472327504319658e-06,
burgers_59,PASS,0.015955899206691247,False,Q2,2.0110026870427182,828225.3642823695,411846.9704783523,4021.532079115839,0.02754924948984634,0.5352875895498641,396.7369271265739,741.1659356051937,7.237208962645167,0.0075074669528777645,
burgers_60,PASS,0.0005824522966216388,False,Q2,0.37966297412827926,157931.55524424496,415978.2912907477,11488.731287440156,2.7908600846916974e-05,0.025634068375182242,14.607197851030822,569.8353315298502,15.73804484297,0.0008731534191683503,
burgers_61,CHECKPOINT_INVALID,,,,,,,,,,,,,,frozen center policy failed
burgers_62,PASS,0.003942518079010812,False,Q2,0.44607830792786446,334482.82959995547,749829.8474850851,37737.50620234636,3.252609197045845e-05,0.08835615993172653,11899.138152926173,134672.4230899207,6777.806216552329,6.8180247218507565e-06,
burgers_63,CHECKPOINT_INVALID,,,,,,,,,,,,,,frozen center policy failed
burgers_64,PASS,0.010783008571148747,False,Q2,1.9606714536026169,72698.10542341368,37078.167935701444,849.7548277431916,1.3918551373533794e-07,0.4418361797666747,86.79412453919562,196.43960479884183,4.501988955529083,2.023263463983135e-09,
burgers_65,PASS,0.0054009670601138085,False,Q2,0.4426153035751528,83642.00253458315,188972.2335829298,4796.270043616623,8.846857235467129e-11,0.12649600869338126,39.559053176125694,312.72965514678384,7.937334751736609,5.8781329602689724e-05,
burgers_66,PASS,0.007492382363737734,False,Q2,0.6243591719311222,41227.26260646574,66031.32373142078,2703.437281963608,0.008117890712668989,0.20849844238867357,23.547106965560264,112.93660852230632,4.623821252161991,0.009794929853321942,
burgers_67,PASS,0.035850061847015814,False,Q2,2.823671705119846,218055.5630011662,77224.12014321303,406.6610194179942,3.049541773063737e-05,1.2334832752506462,463821.68560571,376025.9218038125,1980.146674442474,9.52875371674275e-05,
burgers_68,PASS,0.001250033970381995,False,Q2,0.30602919922372807,147093.07762383568,480650.46733106236,14731.149314829574,1.344709302911543e-06,0.028154804173083563,3268.4992637279324,116090.28582243415,3557.9770554422616,1.1800639919107367e-06,
burgers_69,PASS,0.005871867528442341,False,Q2,0.43768430716695683,104500.05781388571,238756.69312956117,5158.421893482912,5.812097573941431e-10,0.13134386892625177,49.59738081834939,377.61473926276534,8.158498565139137,3.0026126783442104e-06,
