seed,status,Fraw,Fse,Hprofile,eta_se,eta_profile,Eraw,Ese,theta_stationarity,parameter_stationarity
10,CHECKPOINT_INVALID,,,,,,,,0.022810331015410707,0.0022450174259602573
11,PROFILE_FAILURE,726.1997706702658,26.043885782395602,,0.03586325255701704,,,,0.009133906710933096,0.005668015649371873
12,PROFILE_FAILURE,512.487543513142,17.193141762067494,,0.03354840908757932,,,,0.0055774011300089256,0.0025762256313147836
13,PROFILE_FAILURE,719.9050167157004,27.748862346355622,,0.03854517151852825,,,,0.00913059498790727,0.0038974581649726765
14,PROFILE_FAILURE,654.6686050761002,19.591851972342987,,0.0299263655236157,,,,0.0029898390950062344,0.0024149086545986014
15,PROFILE_FAILURE,420.9940431139351,18.675810325281414,,0.04436122228035211,,,,0.00549045726474042,0.006467752010464224
16,PROFILE_FAILURE,1185.9267866921389,33.4046574075973,,0.028167554508800378,,,,0.005805433992441677,0.002437653927965653
17,PROFILE_FAILURE,1201.6200023474005,24.122585345136116,,0.020075053093333937,,,,0.010374123916550184,0.010580237012142727
18,PASS,696.640680945879,36.39777121285608,34.3748575861385,0.05224755344955769,0.049187140255932245,19.265994679401842,0.05884864022049956,0.002121325320410905,0.0018451017539826268
19,PROFILE_FAILURE,795.5329346931742,26.223764214528547,,0.032963769406533346,,,,0.0023366059370264294,0.002425791116560704
