run_id,root_id,offset_id,method,start_valid,raw_step,shift_beta,clipped_step,trust_radius_active,trial_coefficient,predicted_decrease,actual_profile_decrease,actual_predicted_ratio_if_resolved,parameter_error_before,parameter_error_after,step_accepted,candidate_state_valid,branch_consistency_status,objective_evals,gradient_evals,HVP_count,curvature_cost,candidate_solve_cost,total_cost,failure_reason,signed_raw_step,trial_lambda,phi_noise_estimate
day2,burgers_55,+0.05,RAW,True,0.006997518770864538,0.0007245825910380932,0.006997518770864538,False,1.0,0.01773972620220885,0.034685102432692405,1.9552219711470864,0.2764644867270827,0.27138377794554,True,True,consistent,319,319,0,0.13579570001456887,0.8218183999415487,0.9576140999561176,,0.006997518770864538,-3.312340403517699,0.0
day2,burgers_55,+0.05,SAEPS-GN,True,0.15855453819044946,0.0007245825910380932,0.1,True,1.0,0.3471412647451231,0.3658024251434131,1.0537566757210248,0.2764644867270827,0.20036959253583495,True,True,consistent,315,315,0,0.13579570001456887,0.7951369999209419,0.9309326999355108,,0.15855453819044946,-3.2193379222885636,0.0
day2,burgers_55,+0.05,SO,True,0.171694053403215,0.0007245825910380932,0.1,True,1.0,0.35937749998037216,0.3658024251434131,1.017877928260372,0.2764644867270827,0.20036959253583495,True,True,consistent,315,315,0,0.13579570001456887,0.7767265000147745,0.9125222000293434,,0.171694053403215,-3.2193379222885636,0.0
day2,burgers_55,+0.05,EXACT-REDUCED-ORACLE,True,0.17389195070448968,0.0007245825910380932,0.1,True,1.0,0.36124377253260853,0.3658024251434131,1.0126193251134676,0.2764644867270827,0.20036959253583495,True,True,consistent,315,315,0,0.13579570001456887,0.7773633999750018,0.9131590999895707,,0.17389195070448968,-3.2193379222885636,0.0
day2,burgers_55,-0.05,RAW,True,0.01180868941601941,0.000682001196326399,0.01180868941601941,False,1.0,0.04755097320459776,0.0931251360941796,1.9584275529648933,0.3453179943128105,0.3375412315222746,True,True,consistent,319,319,0,0.048431199975311756,0.8118688999675214,0.8603000999428332,,0.01180868941601941,-3.407529232872544,0.0
day2,burgers_55,-0.05,SAEPS-GN,True,0.2450378298533454,0.000682001196326399,0.1,True,1.0,0.6410254906147062,0.6548179748645202,1.0215162804783127,0.3453179943128105,0.2764644867270824,True,True,consistent,312,312,0,0.048431199975311756,0.7903384999372065,0.8387696999125183,,0.2450378298533454,-3.3193379222885633,0.0
day2,burgers_55,-0.05,SO,True,0.2620297658714044,0.000682001196326399,0.1,True,1.0,0.6516820343853079,0.6548179748645202,1.0048120713994675,0.3453179943128105,0.2764644867270824,True,True,consistent,312,312,0,0.048431199975311756,0.7770380999427289,0.8254692999180406,,0.2620297658714044,-3.3193379222885633,0.0
day2,burgers_55,-0.05,EXACT-REDUCED-ORACLE,True,0.26557940979911254,0.000682001196326399,0.1,True,1.0,0.6537360182865672,0.6548179748645202,1.0016550358978058,0.3453179943128105,0.2764644867270824,True,True,consistent,312,312,0,0.048431199975311756,0.7720812000334263,0.820512400008738,,0.26557940979911254,-3.3193379222885633,0.0
day2,allen_cahn_84,+0.05,RAW,True,0.008307893093286677,0.0001330947507748977,0.008307893093286677,False,1.0,0.004593181415804446,0.009034036755575348,1.9668364773249727,0.15772197933035526,0.15069527544330974,True,True,consistent,351,351,0,0.03588880004826933,0.8371292999945581,0.8730181000428274,,0.008307893093286677,0.5298099452314855,0.0
day2,allen_cahn_84,+0.05,SAEPS-GN,True,0.14871159598599887,0.0001330947507748977,0.1,True,1.0,0.07339720765884997,0.07411929873371863,1.0098381273334667,0.15772197933035526,0.06913882662158943,True,True,consistent,324,324,0,0.03588880004826933,0.7992850000737235,0.8351738001219928,,0.14871159598599887,0.6215020521381988,0.0
day2,allen_cahn_84,+0.05,SO,True,0.16817024219823726,0.0001330947507748977,0.1,True,1.0,0.07769891542125001,0.07411929873371863,0.9539296440867385,0.15772197933035526,0.06913882662158943,True,True,consistent,324,324,0,0.03588880004826933,0.7791093999985605,0.8149982000468299,,0.16817024219823726,0.6215020521381988,0.0
day2,allen_cahn_84,+0.05,EXACT-REDUCED-ORACLE,True,0.17507648850793006,0.0001330947507748977,0.1,True,1.0,0.07899575827009797,0.07411929873371863,0.9382693496060127,0.15772197933035526,0.06913882662158943,True,True,consistent,324,324,0,0.03588880004826933,0.7852334000635892,0.8211222001118585,,0.17507648850793006,0.6215020521381988,0.0
day2,allen_cahn_84,-0.05,RAW,True,0.01497960176113278,0.0001090363954876367,0.01497960176113278,False,1.0,0.012233279386639288,0.024043335294600232,1.9654039227502176,0.23787533050884013,0.22637307192140932,True,True,consistent,328,328,0,0.03399280004668981,0.8066856999648735,0.8406785000115633,,0.01497960176113278,0.4364816538993316,0.0
day2,allen_cahn_84,-0.05,SAEPS-GN,True,0.2665144671097767,0.0001090363954876367,0.1,True,1.0,0.13269058362308392,0.1391014475092404,1.048314384571304,0.23787533050884013,0.15772197933035526,True,True,consistent,324,324,0,0.03399280004668981,0.7978054999839514,0.8317983000306413,,0.2665144671097767,0.5215020521381988,0.0
day2,allen_cahn_84,-0.05,SO,True,0.35304126510184625,0.0001090363954876367,0.1,True,1.0,0.14020069824869097,0.1391014475092404,0.9921594488958914,0.23787533050884013,0.15772197933035526,True,True,consistent,324,324,0,0.03399280004668981,0.7803152999840677,0.8143081000307575,,0.35304126510184625,0.5215020521381988,0.0
day2,allen_cahn_84,-0.05,EXACT-REDUCED-ORACLE,True,0.37720879895850856,0.0001090363954876367,0.1,True,1.0,0.14168276321949036,0.1391014475092404,0.9817810180180416,0.23787533050884013,0.15772197933035526,True,True,consistent,324,324,0,0.03399280004668981,0.7788572999415919,0.8128500999882817,,0.37720879895850856,0.5215020521381988,0.0
