run_id,experiment_id,center_id,pde,seed,role,parent_historical_center_id,parent_day1_record_sha256,replay_seconds,center_gate_pass,stationarity,gradient_identity,gamma,frozen_reproduction,matrix_comparison,max_frozen_relative_error,max_matrix_relative_error,checkpoint_npz,provenance_json,checkpoint_npz_sha256,data_identity_max_abs_diff,status,cumulative_replay_seconds
day2,P1B_B,burgers_59,burgers,59,failure_case,burgers_59,2010d1f5cf22427b9dd24739aba014f75b9d18cd70f10550cd3e5554d399aeec,219.32254890003242,True,"{'G_theta': 9.960126628683424e-07, 'S_theta': 4.25606795932608e-06, 'S_lambda': 0.034281766753029456}","{'replay_normalized_objective_gradient': 9.960126628683424e-07, 'archived_state_grad_normalized': 9.960126628683424e-07}",0.00985693597277944,"{'F_raw': {'replay': 892.3362112979551, 'original': 892.3362112979552, 'relative_error': 1.2740359102568738e-16, 'passed': True}, 'F_SAEPS': {'replay': 34.27643643208762, 'original': 34.276436432396196, 'relative_error': 9.002525682461224e-12, 'passed': True}, 'H_red_exact': {'replay': 33.547942491450044, 'original': 33.54794249118072, 'relative_error': 8.02803685004855e-12, 'passed': True}}","{'F_raw': {'replay': 892.3362112979551, 'day1': 892.3362112979551, 'relative_error': 0.0}, 'F_G_reference': {'replay': 34.27643643208762, 'day1': 34.27643643208762, 'relative_error': 0.0}, 'Q_G_actual': {'replay': 34.27643643222814, 'day1': 34.27643643222814, 'relative_error': 0.0}, 'F_SO': {'replay': 35.55894517795048, 'day1': 35.55894517795252, 'relative_error': 5.754847532029401e-14}, 'F_star': {'replay': 33.547942491450044, 'day1': 33.54794249145027, 'relative_error': 6.7775743773609505e-15}, 'gamma': {'replay': 0.00985693597277944, 'day1': 0.00985693597277944, 'relative_error': 0.0}}",9.002525682461224e-12,5.754847532029401e-14,C:\Users\RZF\Desktop\博士课题资料\SAEPS-so-week1\revision_week\outputs\day2\recovery\burgers_59\state_checkpoint.npz,C:\Users\RZF\Desktop\博士课题资料\SAEPS-so-week1\revision_week\outputs\day2\recovery\burgers_59\provenance.json,4664434e7ebd8b889cfb8b07e1b945683096275ecc999e8ded3ce2a0ef90d17e,0.0,historical_center_replayed,219.32254890003242
day2,P1B_B,burgers_67,burgers,67,failure_case,burgers_67,79cbc15edcb6721b3b38db326ad382746c21b6a31e2004c6d4fb51ba21020eab,36.883409600006416,True,"{'G_theta': 3.044865199148035e-07, 'S_theta': 2.328125333478397e-06, 'S_lambda': 0.05882646349118758}","{'replay_normalized_objective_gradient': 3.044865199148035e-07, 'archived_state_grad_normalized': 3.044865199148035e-07}",0.005278366803053357,"{'F_raw': {'replay': 1365.0153813492877, 'original': 1365.015381349288, 'relative_error': 1.665722442031958e-16, 'passed': True}, 'F_SAEPS': {'replay': 32.96073982679172, 'original': 32.96073982700022, 'relative_error': 6.3255423284915215e-12, 'passed': True}, 'H_red_exact': {'replay': 34.40672655435287, 'original': 34.406726554107536, 'relative_error': 7.130471869139749e-12, 'passed': True}}","{'F_raw': {'replay': 1365.0153813492877, 'day1': 1365.0153813492877, 'relative_error': 0.0}, 'F_G_reference': {'replay': 32.96073982679172, 'day1': 32.96073982679172, 'relative_error': 0.0}, 'Q_G_actual': {'replay': 32.96073982676808, 'day1': 32.96073982676808, 'relative_error': 0.0}, 'F_SO': {'replay': 37.23039825972387, 'day1': 37.23039825972705, 'relative_error': 8.550087039086609e-14}, 'F_star': {'replay': 34.40672655435287, 'day1': 34.40672655435196, 'relative_error': 2.643363065463983e-14}, 'gamma': {'replay': 0.005278366803053357, 'day1': 0.005278366803053357, 'relative_error': 0.0}}",7.130471869139749e-12,8.550087039086609e-14,C:\Users\RZF\Desktop\博士课题资料\SAEPS-so-week1\revision_week\outputs\day2\recovery\burgers_67\state_checkpoint.npz,C:\Users\RZF\Desktop\博士课题资料\SAEPS-so-week1\revision_week\outputs\day2\recovery\burgers_67\provenance.json,85a55cac3e988573d9263acee625b7968a43d1f541723d75de6c005e9790463f,0.0,historical_center_replayed,256.20595850003883
day2,P1B_B,burgers_55,burgers,55,control,burgers_55,5f0badb20c65fceb6b239b7e8979546a89c56a2e0d2b36c797a851a25e841d1d,69.57490779994987,True,"{'G_theta': 3.556200775007951e-07, 'S_theta': 1.6019375604277332e-06, 'S_lambda': 0.13069787919589573}","{'replay_normalized_objective_gradient': 3.556200775007951e-07, 'archived_state_grad_normalized': 3.556200775007951e-07}",0.06519609349097101,"{'F_raw': {'replay': 702.2247518499003, 'original': 702.2247518499001, 'relative_error': 1.6189523001307776e-16, 'passed': True}, 'F_SAEPS': {'replay': 32.652057045005336, 'original': 32.652057044629885, 'relative_error': 1.1498533800258241e-11, 'passed': True}, 'H_red_exact': {'replay': 30.26248149213609, 'original': 30.262481492035022, 'relative_error': 3.3396996462804045e-12, 'passed': True}}","{'F_raw': {'replay': 702.2247518499003, 'day1': 702.2247518499003, 'relative_error': 0.0}, 'F_G_reference': {'replay': 32.652057045005336, 'day1': 32.652057045005336, 'relative_error': 0.0}, 'Q_G_actual': {'replay': 32.652057044998855, 'day1': 32.652057044998855, 'relative_error': 0.0}, 'F_SO': {'replay': 30.567306654125446, 'day1': 30.56730665412431, 'relative_error': 3.719229796985623e-14}, 'F_star': {'replay': 30.26248149213609, 'day1': 30.26248149213643, 'relative_error': 1.1270077546465287e-14}, 'gamma': {'replay': 0.06519609349097101, 'day1': 0.06519609349097101, 'relative_error': 0.0}}",1.1498533800258241e-11,3.719229796985623e-14,C:\Users\RZF\Desktop\博士课题资料\SAEPS-so-week1\revision_week\outputs\day2\recovery\burgers_55\state_checkpoint.npz,C:\Users\RZF\Desktop\博士课题资料\SAEPS-so-week1\revision_week\outputs\day2\recovery\burgers_55\provenance.json,6782503f5e1c6ca37f380133e3990c3ddce3cf903a2bd42d0a21fe79ff73188e,0.0,historical_center_replayed,325.7808662999887
day2,P1B_B,allen_cahn_84,allen_cahn,84,control,allen_cahn_84,fcd3e7df7fd034af2917f3aa79d1352436148368fba3fd691426aab4da0f39d1,95.25993129995186,True,"{'G_theta': 7.889853933246748e-07, 'S_theta': 1.4275151682329862e-05, 'S_lambda': 0.1889105180262127}","{'replay_normalized_objective_gradient': 7.889853933246748e-07, 'archived_state_grad_normalized': 7.889853933246748e-07}",0.0014540494347827445,"{'F_raw': {'replay': 120.46614457030421, 'original': 120.46614457030424, 'relative_error': 2.35931095261516e-16, 'passed': True}, 'F_SAEPS': {'replay': 6.723721684095949, 'original': 6.723721684092213, 'relative_error': 5.555968269919682e-13, 'passed': True}, 'H_red_exact': {'replay': 5.258796172018222, 'original': 5.2587961720189895, 'relative_error': 1.459243008321976e-13, 'passed': True}}","{'F_raw': {'replay': 120.46614457030421, 'day1': 120.46614457030421, 'relative_error': 0.0}, 'F_G_reference': {'replay': 6.723721684095949, 'day1': 6.723721684095949, 'relative_error': 0.0}, 'Q_G_actual': {'replay': 6.723721684090478, 'day1': 6.723721684090478, 'relative_error': 0.0}, 'F_SO': {'replay': 5.5433832456181165, 'day1': 5.54338324561823, 'relative_error': 2.0508565380443405e-14}, 'F_star': {'replay': 5.258796172018222, 'day1': 5.258796172018222, 'relative_error': 0.0}, 'gamma': {'replay': 0.0014540494347827445, 'day1': 0.0014540494347827445, 'relative_error': 0.0}}",5.555968269919682e-13,2.0508565380443405e-14,C:\Users\RZF\Desktop\博士课题资料\SAEPS-so-week1\revision_week\outputs\day2\recovery\allen_cahn_84\state_checkpoint.npz,C:\Users\RZF\Desktop\博士课题资料\SAEPS-so-week1\revision_week\outputs\day2\recovery\allen_cahn_84\provenance.json,f49ec8962261c28d0b4abddf9f805610e926b185e8a37723b5f22df8f0e0fb16,0.0,historical_center_replayed,421.04079759994056
