run_id,center_id,pde,seed,gamma,n_state,hvp_vs_explicit_max_abs,hvp_vs_explicit_relative,parity_target,parity_pass_well_conditioned,f_so_directional,f_so_block_quadratic,f_so_quadratic_rel,q_g_directional,q_g_block_quadratic,q_g_quadratic_rel,jvp_vjp_adjoint_relative,gn_normal_residual,hll_minus_gll_vs_grad_lambda_abs,hll_minus_gll_vs_grad_lambda_relative,d_prod_vs_archived_relative,cond_H_joint,jvp_count,hvp_count,vjp_count
day2,burgers_59,burgers,59,0.00985693597277944,65,8.314415822496812e-11,2.265144468385676e-12,1e-08,True,35.558945178108466,35.558945178268345,4.496174455452898e-12,34.276436432396316,34.27643643183603,1.6346047657058027e-11,2.223328168037544e-13,1.7242485116905278e-14,1.0391687510491465e-13,4.9866970116251317e-14,8.999759377528605e-13,362620799413.0677,2,4,1
day2,burgers_67,burgers,67,0.005278366803053357,65,6.782840955565916e-11,1.8730810166382603e-12,1e-08,True,37.2303982594989,37.230398259371896,3.411255708439551e-12,32.960739827000275,32.9607398266769,9.810917660593721e-12,9.439599847816195e-15,1.1250431813146711e-14,9.059419880941277e-14,1.7049853767868e-14,3.867975810417831e-12,2.17120494859692e+17,2,4,1
day2,burgers_55,burgers,55,0.06519609349097101,65,3.148059590785124e-10,8.738387980019359e-12,1e-08,True,30.567306653970583,30.56730665405769,2.8496273800841327e-12,32.652057044629835,32.65205704491552,8.749461553802777e-12,2.0474440115340874e-13,2.9807317822368275e-14,3.8191672047105385e-14,5.827261775911136e-15,4.114852769993923e-12,7555759520598.699,2,4,1
day2,allen_cahn_84,allen_cahn,84,0.0014540494347827445,33,5.651479284551897e-12,1.0499465390543324e-12,1e-08,True,5.543383245609498,5.5433832456023,1.2984485456530544e-12,6.723721684092207,6.723721684082591,1.4302060974442817e-12,1.1227732958836178e-15,1.223154574484709e-14,3.9968028886505635e-15,2.862813104085636e-15,7.450207230438013e-13,5010672667.748052,2,4,1
