root,offset,method,status,failure_reason,raw_step,step,trust_radius_active,predicted,actual,error_estimate,error_status,accepted,start_gradient,candidate_gradient,parameter_error_before,parameter_error_after,candidate_cost_seconds
burgers_55,0.05,RAW,PASS,,0.006974274917758206,0.0006974274917758206,False,0.003348927973506024,0.003518099772606753,2.1322975526066863e-14,local_gradient_energy_diagnostic_not_certificate,True,1.3192774843359183e-13,2.1419263789162233e-14,0.2764644867270827,0.2759596971622509,0.9995882998919114
burgers_55,0.05,SAEPS-GN,PASS,,0.15798732323243886,0.015798732323243886,False,0.07586290695918967,0.07624007542857503,2.1322977696111693e-14,local_gradient_energy_diagnostic_not_certificate,True,1.3192774843359183e-13,6.876059025184206e-14,0.2764644867270827,0.2649427682037898,1.024804100045003
burgers_55,0.05,SO,PASS,,0.17118369451738408,0.01711836945173841,False,0.08219959499077621,0.08228333683253841,2.132297554797606e-14,local_gradient_energy_diagnostic_not_certificate,True,1.3192774843359183e-13,1.8839880081689609e-13,0.2764644867270827,0.26397211907769125,1.1158186999382451
burgers_55,0.05,EXACT-REDUCED-ORACLE,PASS,,0.17339725779781656,0.017339725779781656,False,0.08326251306685778,0.08329216585128973,2.1322981067552738e-14,local_gradient_energy_diagnostic_not_certificate,True,1.3192774843359183e-13,4.1185164979102184e-13,0.2764644867270827,0.26380917661512543,1.1708425001706928
burgers_55,-0.05,RAW,PASS,,0.011822059023476458,0.0011822059023476458,False,0.009054461749142713,0.009509822697201908,3.0630167239633305e-14,local_gradient_energy_diagnostic_not_certificate,True,7.808223994191572e-13,2.2031581961640136e-13,0.3453179943128105,0.344543567705869,1.2852956999558955
burgers_55,-0.05,SAEPS-GN,PASS,,0.24541115570022742,0.024541115570022743,False,0.1879594940684877,0.18870682629165358,3.06300753874812e-14,local_gradient_energy_diagnostic_not_certificate,True,7.808223994191572e-13,1.0373125050731948e-11,0.3453179943128105,0.32905259840274576,1.2924823000794277
burgers_55,-0.05,SO,PASS,,0.2623590151248178,0.02623590151248178,False,0.2009398119135542,0.2010628986861427,3.0630032677053565e-14,local_gradient_energy_diagnostic_not_certificate,True,7.808223994191572e-13,5.348329669505868e-12,0.3453179943128105,0.3279145220528977,1.3605887999292463
burgers_55,-0.05,EXACT-REDUCED-ORACLE,PASS,,0.2659049406448372,0.026590494064483723,False,0.20365562653952513,0.20363705687362144,3.063001717001591e-14,local_gradient_energy_diagnostic_not_certificate,True,7.808223994191572e-13,5.588465135222259e-15,0.3453179943128105,0.3276761632904855,1.208811599877663
allen_cahn_84,0.05,RAW,PROFILE_FAILURE,common_start_failed,,,,,,,,,,,,,
allen_cahn_84,0.05,SAEPS-GN,PROFILE_FAILURE,common_start_failed,,,,,,,,,,,,,
allen_cahn_84,0.05,SO,PROFILE_FAILURE,common_start_failed,,,,,,,,,,,,,
allen_cahn_84,0.05,EXACT-REDUCED-ORACLE,PROFILE_FAILURE,common_start_failed,,,,,,,,,,,,,
allen_cahn_84,-0.05,RAW,PROFILE_FAILURE,common_start_failed,,,,,,,,,,,,,
allen_cahn_84,-0.05,SAEPS-GN,PROFILE_FAILURE,common_start_failed,,,,,,,,,,,,,
allen_cahn_84,-0.05,SO,PROFILE_FAILURE,common_start_failed,,,,,,,,,,,,,
allen_cahn_84,-0.05,EXACT-REDUCED-ORACLE,PROFILE_FAILURE,common_start_failed,,,,,,,,,,,,,
