root,offset,SO_minus_GN_actual,comparison_error_estimate,resolved,SO_better,distinct_steps
burgers_55,0.05,0.006043261403963385,4.2645953244087754e-14,True,True,True
burgers_55,-0.05,0.012356072394489104,6.126010806453477e-14,True,True,True
